dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_data_only_transfer,64000,90.0,87.4125,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64000,93.5,88.25,0.25,1,calibration,
real_moleculenet_lipophilicity,gp_ucb,64000,82.5,82.5,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64000,90.0,87.4125,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64000,93.75,91.825,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64000,87.375,85.55,6.375,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64000,90.0,87.4125,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64000,87.25,85.525,6.5,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64001,93.75,86.65,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64001,93.75,75.825,0.0,1,calibration,
real_moleculenet_lipophilicity,gp_ucb,64001,83.25,75.4625,10.5,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64001,93.75,86.0,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64001,88.75,88.75,5.0,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64001,85.75,74.675,8.0,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64001,93.75,86.0,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64001,93.75,79.75,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64002,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64002,88.75,86.525,5.0,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64002,82.25,82.25,11.5,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64002,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64002,87.25,85.675,6.5,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64002,91.25,89.45,2.5,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64002,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64002,91.25,89.45,2.5,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64003,88.0,85.825,5.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64003,90.0,87.25,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64003,86.375,84.8375,7.375,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64003,85.0,84.325,8.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64003,93.75,91.75,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64003,93.75,90.025,0.0,1,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64003,85.0,84.325,8.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64003,93.75,90.025,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64004,93.75,92.6875,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64004,91.25,89.825,2.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64004,91.25,90.5375,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64004,93.75,93.725,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64004,93.75,93.725,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64004,87.5,84.9875,6.25,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64004,93.75,93.725,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64004,91.875,91.2375,1.875,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64005,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64005,87.5,87.5,6.25,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64005,87.5,87.5,6.25,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64005,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64005,93.75,93.75,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64005,87.5,87.5,6.25,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64005,93.75,93.75,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64005,87.5,87.5,6.25,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64006,93.75,83.25,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64006,84.25,81.675,9.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64006,82.5,77.525,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64006,93.75,88.25,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64006,86.75,83.55,7.0,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64006,86.75,76.15,7.0,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64006,93.75,88.25,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64006,82.5,76.675,11.25,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64007,93.75,90.5,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64007,83.25,83.25,10.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64007,88.25,82.3,5.5,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64007,93.75,90.5625,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64007,93.75,91.3125,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64007,88.25,82.3,5.5,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64007,93.75,90.5625,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64007,88.25,82.3,5.5,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64008,90.0,89.0375,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64008,90.0,87.6875,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64008,90.0,87.6875,3.75,0,calibration,
