dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_data_only_transfer,64000,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64000,90.0,89.8365,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64000,91.25,88.75,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64000,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64000,93.75,87.9808,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64000,90.0,86.9712,3.75,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64000,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64000,89.125,86.0096,4.625,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64001,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64001,84.25,82.4808,9.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64001,88.625,86.1827,5.125,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64001,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64001,93.75,84.1154,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64001,88.625,86.1827,5.125,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64001,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64001,88.625,86.1827,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64002,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64002,84.0,82.6538,9.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64002,92.5,91.7115,1.25,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64002,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64002,90.0,85.6635,3.75,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64002,91.25,89.0577,2.5,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64002,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64002,84.0,82.3846,9.75,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64003,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64003,82.75,82.75,11.0,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64003,91.25,88.8269,2.5,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64003,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64003,87.0,85.1923,6.75,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64003,91.25,87.1346,2.5,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64003,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64003,88.625,88.1058,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64004,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64004,90.0,87.8942,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64004,92.375,88.2981,1.375,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64004,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64004,93.75,81.5962,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64004,84.75,73.1058,9.0,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64004,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64004,87.5,75.3558,6.25,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64005,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64005,91.25,88.8846,2.5,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64005,88.75,88.3269,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64005,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64005,93.75,90.8654,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64005,88.625,88.1058,5.125,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64005,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64005,93.75,91.8269,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64006,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64006,87.125,80.5673,6.625,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64006,88.75,80.6154,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64006,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64006,91.625,91.625,2.125,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64006,91.25,85.1538,2.5,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64006,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64006,93.75,80.7212,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64007,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64007,89.875,88.9231,3.875,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64007,89.875,87.9712,3.875,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64007,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64007,93.75,83.3558,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64007,89.875,87.9712,3.875,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64007,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64007,89.875,87.9712,3.875,0,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64008,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64008,82.5,80.1635,11.25,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,64008,82.5,80.1635,11.25,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,64008,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,64008,93.75,93.6346,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,64008,91.875,90.0962,1.875,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,64008,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,64008,93.75,81.1442,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,64009,90.0,87.8462,3.75,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,64009,93.75,90.6538,0.0,1,calibration,
