dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_dielectric,fixed_data_only_transfer,70000,79.1231,58.5077,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70000,66.6854,54.2909,32.96,0,calibration,
real_matbench_dielectric,gp_ucb,70000,57.1624,49.8956,42.483,0,calibration,
real_matbench_dielectric,llm_transfer_router,70000,79.1231,58.5077,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70000,79.1231,58.5077,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70000,48.7857,46.3329,50.8597,0,calibration,
real_matbench_dielectric,source_warmstart_only,70000,79.1231,58.5077,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70000,57.1624,49.8956,42.483,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70001,79.1231,51.2728,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70001,45.8474,41.5524,53.798,0,calibration,
real_matbench_dielectric,gp_ucb,70001,49.323,38.6984,50.3224,0,calibration,
real_matbench_dielectric,llm_transfer_router,70001,79.1231,51.2728,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70001,79.1231,51.2728,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70001,59.5114,49.6692,40.134,0,calibration,
real_matbench_dielectric,source_warmstart_only,70001,79.1231,51.2728,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70001,46.403,43.2092,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70002,31.2207,29.2767,68.4247,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70002,56.4702,41.2356,43.1752,0,calibration,
real_matbench_dielectric,gp_ucb,70002,44.4763,39.2625,55.1691,0,calibration,
real_matbench_dielectric,llm_transfer_router,70002,40.0061,31.3943,59.6393,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70002,31.2207,29.2767,68.4247,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70002,59.5114,54.9502,40.134,0,calibration,
real_matbench_dielectric,source_warmstart_only,70002,31.2207,29.2767,68.4247,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70002,56.4702,41.1719,43.1752,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70003,79.1231,48.2483,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70003,45.8474,41.9574,53.798,0,calibration,
real_matbench_dielectric,gp_ucb,70003,45.5754,42.7337,54.07,0,calibration,
real_matbench_dielectric,llm_transfer_router,70003,79.1231,48.2483,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70003,79.1231,48.2483,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70003,57.1624,50.8333,42.483,0,calibration,
real_matbench_dielectric,source_warmstart_only,70003,79.1231,48.2483,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70003,64.047,39.2835,35.5984,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70004,79.1231,51.2728,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70004,48.7857,44.4018,50.8597,0,calibration,
real_matbench_dielectric,gp_ucb,70004,59.5114,55.1766,40.134,0,calibration,
real_matbench_dielectric,llm_transfer_router,70004,79.1231,51.2728,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70004,79.1231,51.2728,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70004,46.403,44.0956,53.2424,0,calibration,
real_matbench_dielectric,source_warmstart_only,70004,79.1231,51.2728,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70004,46.403,44.0956,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70005,61.1299,46.7897,38.5155,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70005,37.9528,33.1825,61.6926,0,calibration,
real_matbench_dielectric,gp_ucb,70005,36.0028,33.3934,63.6426,0,calibration,
real_matbench_dielectric,llm_transfer_router,70005,61.1299,46.7897,38.5155,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70005,61.1299,46.7897,38.5155,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70005,36.0028,33.3934,63.6426,0,calibration,
real_matbench_dielectric,source_warmstart_only,70005,61.1299,46.7897,38.5155,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70005,37.9528,33.1825,61.6926,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70006,43.1496,39.7086,56.4958,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70006,48.7857,43.7646,50.8597,0,calibration,
real_matbench_dielectric,gp_ucb,70006,48.7857,44.752,50.8597,0,calibration,
real_matbench_dielectric,llm_transfer_router,70006,43.1496,39.7086,56.4958,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70006,43.1496,39.7086,56.4958,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70006,46.403,37.6313,53.2424,0,calibration,
real_matbench_dielectric,source_warmstart_only,70006,43.1496,39.7086,56.4958,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70006,43.5603,37.5693,56.0851,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70007,79.1231,54.9748,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70007,46.403,44.3045,53.2424,0,calibration,
real_matbench_dielectric,gp_ucb,70007,43.5603,39.6157,56.0851,0,calibration,
real_matbench_dielectric,llm_transfer_router,70007,79.1231,54.9748,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70007,79.1231,54.9748,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70007,43.5603,39.1224,56.0851,0,calibration,
real_matbench_dielectric,source_warmstart_only,70007,79.1231,54.9748,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70007,33.8414,33.779,65.804,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70008,79.1231,56.9856,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70008,57.2276,51.0102,42.4178,0,calibration,
real_matbench_dielectric,gp_ucb,70008,48.7857,44.5031,50.8597,0,calibration,
real_matbench_dielectric,llm_transfer_router,70008,79.1231,56.9856,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70008,79.1231,56.9856,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70008,56.4702,50.857,43.1752,0,calibration,
real_matbench_dielectric,source_warmstart_only,70008,79.1231,56.9856,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70008,48.7857,44.5808,50.8597,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70009,79.1231,60.6654,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70009,48.7857,42.1122,50.8597,0,calibration,
real_matbench_dielectric,gp_ucb,70009,48.7857,46.4801,50.8597,0,calibration,
real_matbench_dielectric,llm_transfer_router,70009,79.1231,60.6654,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70009,79.1231,60.6654,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70009,48.7857,43.2004,50.8597,0,calibration,
real_matbench_dielectric,source_warmstart_only,70009,79.1231,60.6654,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70009,46.403,41.4253,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70010,40.2711,36.2292,59.3743,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70010,37.7793,37.7793,61.8661,0,calibration,
real_matbench_dielectric,gp_ucb,70010,40.4526,37.1896,59.1928,0,calibration,
real_matbench_dielectric,llm_transfer_router,70010,40.2711,36.2292,59.3743,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70010,40.2711,36.2292,59.3743,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70010,40.4526,36.7817,59.1928,0,calibration,
real_matbench_dielectric,source_warmstart_only,70010,40.2711,36.2292,59.3743,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70010,40.4526,38.8075,59.1928,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70011,54.0536,54.0536,45.5918,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70011,54.0536,54.0536,45.5918,0,calibration,
real_matbench_dielectric,gp_ucb,70011,54.0536,54.0536,45.5918,0,calibration,
real_matbench_dielectric,llm_transfer_router,70011,54.0536,54.0536,45.5918,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70011,54.0536,54.0536,45.5918,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70011,54.0536,54.0536,45.5918,0,calibration,
real_matbench_dielectric,source_warmstart_only,70011,54.0536,54.0536,45.5918,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70011,56.4702,54.2395,43.1752,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70012,79.1231,57.5328,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70012,46.403,44.5425,53.2424,0,calibration,
real_matbench_dielectric,gp_ucb,70012,46.403,44.5425,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,70012,79.1231,57.5328,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70012,79.1231,57.5328,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70012,59.5114,50.2186,40.134,0,calibration,
real_matbench_dielectric,source_warmstart_only,70012,79.1231,57.5328,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70012,59.5114,48.8667,40.134,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70013,79.1231,67.0562,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70013,40.5991,37.7042,59.0463,0,calibration,
real_matbench_dielectric,gp_ucb,70013,50.5784,39.992,49.067,0,calibration,
real_matbench_dielectric,llm_transfer_router,70013,79.1231,67.0562,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70013,79.1231,67.0562,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70013,59.5114,50.4056,40.134,0,calibration,
real_matbench_dielectric,source_warmstart_only,70013,79.1231,67.0562,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70013,40.3388,38.4167,59.3066,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70014,79.1231,51.199,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70014,56.4702,52.151,43.1752,0,calibration,
real_matbench_dielectric,gp_ucb,70014,60.176,52.338,39.4694,0,calibration,
real_matbench_dielectric,llm_transfer_router,70014,79.1231,51.199,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70014,79.1231,51.199,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70014,66.6854,55.3713,32.96,0,calibration,
real_matbench_dielectric,source_warmstart_only,70014,79.1231,51.199,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70014,56.4702,52.151,43.1752,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70015,44.295,43.842,55.3504,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70015,46.403,41.2146,53.2424,0,calibration,
real_matbench_dielectric,gp_ucb,70015,46.403,41.18,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,70015,44.295,43.842,55.3504,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70015,44.295,43.842,55.3504,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70015,59.5114,46.0543,40.134,0,calibration,
real_matbench_dielectric,source_warmstart_only,70015,44.295,43.842,55.3504,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70015,46.403,41.2146,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70016,42.2441,41.3124,57.4013,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70016,46.403,41.2957,53.2424,0,calibration,
real_matbench_dielectric,gp_ucb,70016,46.403,41.0107,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,70016,42.2441,41.3124,57.4013,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70016,42.2441,41.3124,57.4013,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70016,48.7857,45.4244,50.8597,0,calibration,
real_matbench_dielectric,source_warmstart_only,70016,42.2441,41.3124,57.4013,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70016,46.403,41.0107,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70017,79.1231,65.8944,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70017,48.7857,41.6185,50.8597,0,calibration,
real_matbench_dielectric,gp_ucb,70017,46.403,43.5911,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,70017,79.1231,65.8944,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70017,79.1231,65.8944,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70017,60.176,45.7149,39.4694,0,calibration,
real_matbench_dielectric,source_warmstart_only,70017,79.1231,65.8944,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70017,48.7857,41.6185,50.8597,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70018,45.8474,44.8098,53.798,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70018,59.5114,56.5378,40.134,0,calibration,
real_matbench_dielectric,gp_ucb,70018,59.5114,59.5114,40.134,0,calibration,
real_matbench_dielectric,llm_transfer_router,70018,45.8474,44.8098,53.798,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70018,45.8474,44.8098,53.798,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70018,50.1928,42.8047,49.4526,0,calibration,
real_matbench_dielectric,source_warmstart_only,70018,45.8474,44.8098,53.798,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70018,42.6988,35.0073,56.9466,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70019,44.295,41.2217,55.3504,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70019,85.1192,37.9495,14.5262,1,calibration,
real_matbench_dielectric,gp_ucb,70019,38.824,33.0895,60.8214,0,calibration,
real_matbench_dielectric,llm_transfer_router,70019,44.295,41.2217,55.3504,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70019,44.295,41.2217,55.3504,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70019,78.5178,51.1413,21.1276,1,calibration,
real_matbench_dielectric,source_warmstart_only,70019,44.295,41.2217,55.3504,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70019,57.1624,53.2314,42.483,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70020,47.6541,41.1893,51.9913,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70020,48.7857,39.2019,50.8597,0,calibration,
real_matbench_dielectric,gp_ucb,70020,44.1613,36.8999,55.4841,0,calibration,
real_matbench_dielectric,llm_transfer_router,70020,47.6541,41.1893,51.9913,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70020,47.6541,41.1893,51.9913,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70020,85.1192,53.2108,14.5262,1,calibration,
real_matbench_dielectric,source_warmstart_only,70020,47.6541,41.1893,51.9913,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70020,59.5114,52.338,40.134,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70021,61.1299,50.9638,38.5155,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70021,56.5928,47.5642,43.0526,0,calibration,
real_matbench_dielectric,gp_ucb,70021,45.6198,41.1219,54.0256,0,calibration,
