dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_dielectric,fixed_data_only_transfer,70000,46.5569,45.6948,53.0885,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70000,57.2276,54.8153,42.4178,0,calibration,
real_matbench_dielectric,gp_ucb,70000,54.8245,53.8541,44.8209,0,calibration,
real_matbench_dielectric,llm_transfer_router,70000,46.5569,45.6948,53.0885,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70000,46.5569,45.6948,53.0885,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70000,54.8245,53.8541,44.8209,0,calibration,
real_matbench_dielectric,source_warmstart_only,70000,46.5569,45.6948,53.0885,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70000,54.8245,53.8541,44.8209,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70001,47.6541,44.9488,51.9913,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70001,46.403,43.2301,53.2424,0,calibration,
real_matbench_dielectric,gp_ucb,70001,46.403,41.5241,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,70001,47.6541,44.9488,51.9913,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70001,47.6541,44.9488,51.9913,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70001,46.403,41.8084,53.2424,0,calibration,
real_matbench_dielectric,source_warmstart_only,70001,47.6541,44.9488,51.9913,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70001,46.403,41.5241,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70002,37.2639,31.9713,62.3815,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70002,85.1192,73.7366,14.5262,1,calibration,
real_matbench_dielectric,gp_ucb,70002,85.1192,73.7366,14.5262,1,calibration,
real_matbench_dielectric,llm_transfer_router,70002,37.2639,31.9713,62.3815,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70002,37.2639,31.9713,62.3815,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70002,85.1192,73.7366,14.5262,1,calibration,
real_matbench_dielectric,source_warmstart_only,70002,37.2639,31.9713,62.3815,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70002,85.1192,73.7366,14.5262,1,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70003,43.0528,38.2517,56.5926,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70003,45.823,40.8423,53.8224,0,calibration,
real_matbench_dielectric,gp_ucb,70003,49.2242,40.3923,50.4212,0,calibration,
real_matbench_dielectric,llm_transfer_router,70003,43.0528,38.2517,56.5926,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70003,61.1299,44.9262,38.5155,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70003,43.1981,39.7513,56.4473,0,calibration,
real_matbench_dielectric,source_warmstart_only,70003,61.1299,44.9262,38.5155,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70003,43.1981,39.6736,56.4473,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70004,42.4533,42.4533,57.1921,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70004,46.403,40.6239,53.2424,0,calibration,
real_matbench_dielectric,gp_ucb,70004,46.403,42.1108,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,70004,42.4533,42.4533,57.1921,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70004,42.4533,42.4533,57.1921,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70004,36.6922,35.9638,62.9532,0,calibration,
real_matbench_dielectric,source_warmstart_only,70004,42.4533,42.4533,57.1921,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70004,36.6922,35.9638,62.9532,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70005,79.1231,71.5473,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70005,57.2276,53.3166,42.4178,0,calibration,
real_matbench_dielectric,gp_ucb,70005,50.5784,49.1682,49.067,0,calibration,
real_matbench_dielectric,llm_transfer_router,70005,79.1231,71.5473,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70005,79.1231,71.5473,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70005,50.5784,49.1682,49.067,0,calibration,
real_matbench_dielectric,source_warmstart_only,70005,79.1231,71.5473,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70005,50.5784,49.1682,49.067,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70006,79.1231,46.7447,20.5223,1,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70006,46.403,40.5987,53.2424,0,calibration,
real_matbench_dielectric,gp_ucb,70006,46.403,39.6021,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,70006,79.1231,46.7447,20.5223,1,calibration,
real_matbench_dielectric,matched_target_only_llm,70006,79.1231,46.7447,20.5223,1,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70006,46.403,41.9328,53.2424,0,calibration,
real_matbench_dielectric,source_warmstart_only,70006,79.1231,46.7447,20.5223,1,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70006,46.403,41.9789,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70007,61.1299,51.3406,38.5155,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70007,41.3443,35.5581,58.3011,0,calibration,
real_matbench_dielectric,gp_ucb,70007,41.3443,36.1194,58.3011,0,calibration,
real_matbench_dielectric,llm_transfer_router,70007,61.1299,51.3406,38.5155,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70007,61.1299,51.3406,38.5155,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70007,41.3443,36.7472,58.3011,0,calibration,
real_matbench_dielectric,source_warmstart_only,70007,61.1299,51.3406,38.5155,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70007,41.3443,36.7472,58.3011,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70008,43.1496,42.7522,56.4958,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70008,49.2688,46.3518,50.3766,0,calibration,
real_matbench_dielectric,gp_ucb,70008,45.8474,45.6504,53.798,0,calibration,
real_matbench_dielectric,llm_transfer_router,70008,43.1496,42.7522,56.4958,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70008,43.1496,42.7522,56.4958,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70008,48.7857,45.3652,50.8597,0,calibration,
real_matbench_dielectric,source_warmstart_only,70008,43.1496,42.7522,56.4958,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70008,47.2802,45.7553,52.3652,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70009,47.6541,43.5697,51.9913,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70009,46.403,43.1712,53.2424,0,calibration,
real_matbench_dielectric,gp_ucb,70009,46.403,43.314,53.2424,0,calibration,
real_matbench_dielectric,llm_transfer_router,70009,47.6541,43.5697,51.9913,0,calibration,
real_matbench_dielectric,matched_target_only_llm,70009,47.6541,43.5697,51.9913,0,calibration,llm_direct_prior_domain_knowledge_electron_density_optimization
real_matbench_dielectric,mixed_kernel_gp_ei,70009,46.403,43.314,53.2424,0,calibration,
real_matbench_dielectric,source_warmstart_only,70009,47.6541,43.5697,51.9913,0,calibration,
real_matbench_dielectric,target_acquisition_portfolio,70009,46.403,43.314,53.2424,0,calibration,
real_matbench_dielectric,fixed_data_only_transfer,70010,44.295,37.048,55.3504,0,calibration,
real_matbench_dielectric,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70010,56.4702,54.1135,43.1752,0,calibration,
real_matbench_dielectric,gp_ucb,70010,56.4702,52.9351,43.1752,0,calibration,
real_matbench_dielectric,llm_transfer_router,70010,44.295,37.048,55.3504,0,calibration,
