dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_lipophilicity,fixed_data_only_transfer,70000,93.75,92.4231,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70000,90.0,85.875,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,70000,88.75,82.9808,5.0,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,70000,93.75,92.4231,0.0,1,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,70000,93.75,92.4231,0.0,1,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,70000,93.75,82.7308,0.0,1,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,70000,93.75,92.4231,0.0,1,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,70000,93.75,83.6538,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,70001,88.625,81.9327,5.125,0,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70001,90.0,86.7692,3.75,0,calibration,
real_moleculenet_lipophilicity,gp_ucb,70001,84.0,84.0,9.75,0,calibration,
real_moleculenet_lipophilicity,llm_transfer_router,70001,88.625,81.9327,5.125,0,calibration,
real_moleculenet_lipophilicity,matched_target_only_llm,70001,88.625,81.9327,5.125,0,calibration,llm_semantic_domain_knowledge_polar_surface_control_noprior
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,70001,82.5,81.0192,11.25,0,calibration,
real_moleculenet_lipophilicity,source_warmstart_only,70001,88.625,81.9327,5.125,0,calibration,
real_moleculenet_lipophilicity,target_acquisition_portfolio,70001,93.75,86.375,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_data_only_transfer,70002,93.75,89.3654,0.0,1,calibration,
real_moleculenet_lipophilicity,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70002,93.75,86.5962,0.0,1,calibration,
real_moleculenet_lipophilicity,gp_ucb,70002,88.75,82.3654,5.0,0,calibration,
