dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_moleculenet_freesolv,fixed_data_only_transfer,70000,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70000,49.8,40.3466,50.2,0,calibration,
real_moleculenet_freesolv,gp_ucb,70000,49.8,40.3466,50.2,0,calibration,
real_moleculenet_freesolv,llm_transfer_router,70000,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,matched_target_only_llm,70000,100.0,100.0,0.0,1,calibration,llambo_warmstart_balanced_feature_interaction_noprior
real_moleculenet_freesolv,mixed_kernel_gp_ei,70000,100.0,86.7867,0.0,1,calibration,
real_moleculenet_freesolv,source_warmstart_only,70000,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,70000,59.1333,49.0866,40.8667,0,calibration,
real_moleculenet_freesolv,fixed_data_only_transfer,70001,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70001,79.0667,65.2367,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,70001,73.0667,60.8633,26.9333,1,calibration,
real_moleculenet_freesolv,llm_transfer_router,70001,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,matched_target_only_llm,70001,100.0,100.0,0.0,1,calibration,llambo_warmstart_balanced_feature_interaction_noprior
real_moleculenet_freesolv,mixed_kernel_gp_ei,70001,73.0667,60.8633,26.9333,1,calibration,
real_moleculenet_freesolv,source_warmstart_only,70001,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,70001,79.0667,62.6633,20.9333,1,calibration,
real_moleculenet_freesolv,fixed_data_only_transfer,70002,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70002,79.0667,74.8667,20.9333,1,calibration,
real_moleculenet_freesolv,gp_ucb,70002,79.0667,74.8667,20.9333,1,calibration,
real_moleculenet_freesolv,llm_transfer_router,70002,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,matched_target_only_llm,70002,100.0,100.0,0.0,1,calibration,llambo_warmstart_balanced_feature_interaction_noprior
real_moleculenet_freesolv,mixed_kernel_gp_ei,70002,73.0667,73.0667,26.9333,1,calibration,
real_moleculenet_freesolv,source_warmstart_only,70002,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,target_acquisition_portfolio,70002,73.0667,73.0667,26.9333,1,calibration,
real_moleculenet_freesolv,fixed_data_only_transfer,70003,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,fixed_scale_ensemble_0p5_1_1p5_2_3_4,70003,49.8,38.94,50.2,0,calibration,
real_moleculenet_freesolv,gp_ucb,70003,40.9667,36.7534,59.0333,0,calibration,
real_moleculenet_freesolv,llm_transfer_router,70003,100.0,100.0,0.0,1,calibration,
real_moleculenet_freesolv,matched_target_only_llm,70003,100.0,100.0,0.0,1,calibration,llambo_warmstart_balanced_feature_interaction_noprior
real_moleculenet_freesolv,mixed_kernel_gp_ei,70003,40.9667,38.1334,59.0333,0,calibration,
real_moleculenet_freesolv,source_warmstart_only,70003,100.0,100.0,0.0,1,calibration,
