source_dataset,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_observations,source_inducing_points,pair_id,split
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70000,2,13,36.25,20.75,63.75,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70000,2,13,100.0,69.230769,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70000,2,13,27.75,18.634615,72.25,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70001,2,13,100.0,72.134615,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70001,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70001,2,13,100.0,94.346154,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70002,2,13,68.75,45.365385,31.25,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70002,2,13,100.0,94.182692,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70002,2,13,26.875,26.586538,73.125,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70003,2,13,47.5,26.826923,52.5,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70003,2,13,100.0,93.673077,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70003,2,13,28.75,25.365385,71.25,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70004,2,13,43.25,21.75,56.75,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70004,2,13,100.0,69.230769,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70004,2,13,43.25,19.096154,56.75,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70005,2,13,59.5,43.336538,40.5,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70005,2,13,100.0,93.211538,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70005,2,13,28.75,27.442308,71.25,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70006,2,13,100.0,95.192308,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70006,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70006,2,13,100.0,88.557692,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70007,2,13,53.125,43.201923,46.875,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70007,2,13,100.0,93.461538,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70007,2,13,71.25,38.538462,28.75,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70008,2,13,47.375,42.644231,52.625,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70008,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70008,2,13,100.0,83.057692,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70009,2,13,53.125,49.288462,46.875,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70009,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70009,2,13,36.625,36.625,63.375,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70010,2,13,45.125,38.019231,54.875,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70010,2,13,100.0,94.221154,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70010,2,13,28.75,28.432692,71.25,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70011,2,13,62.375,62.375,37.625,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70011,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70011,2,13,100.0,78.596154,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70012,2,13,56.25,34.971154,43.75,0,2048,256,materials_dielectric_to_expt_gap,calibration
