source_dataset,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_observations,source_inducing_points,pair_id,split
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70000,2,13,93.75,84.807692,0.0,1,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70000,2,13,91.875,85.173077,1.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70000,2,13,86.25,83.25,7.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70001,2,13,84.0,84.0,9.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70001,2,13,83.75,78.365385,10.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70001,2,13,87.5,81.5,6.25,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70002,2,13,91.0,87.0,2.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70002,2,13,85.0,72.730769,8.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70002,2,13,93.75,87.346154,0.0,1,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70003,2,13,86.625,85.067308,7.125,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70003,2,13,84.625,84.0,9.125,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70003,2,13,93.75,91.807692,0.0,1,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70004,2,13,92.125,88.423077,1.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70004,2,13,87.125,84.557692,6.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70004,2,13,93.75,86.057692,0.0,1,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70005,2,13,93.75,89.884615,0.0,1,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70005,2,13,87.125,86.817308,6.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70005,2,13,87.5,84.471154,6.25,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70006,2,13,93.75,86.625,0.0,1,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70006,2,13,87.125,85.682692,6.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70006,2,13,82.875,81.759615,10.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70007,2,13,91.25,91.25,2.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70007,2,13,91.25,91.25,2.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70007,2,13,91.25,91.25,2.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70008,2,13,85.875,83.913462,7.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70008,2,13,82.875,80.875,10.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70008,2,13,91.25,80.865385,2.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70009,2,13,86.75,76.519231,7.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70009,2,13,80.375,78.644231,13.375,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70009,2,13,91.375,88.644231,2.375,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70010,2,13,82.5,80.432692,11.25,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70010,2,13,87.125,86.096154,6.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70010,2,13,82.625,81.346154,11.125,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70011,2,13,82.25,78.865385,11.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70011,2,13,88.625,86.701923,5.125,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70011,2,13,93.75,84.365385,0.0,1,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70012,2,13,88.625,88.019231,5.125,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70012,2,13,80.0,64.711538,13.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70012,2,13,91.25,90.192308,2.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70013,2,13,91.25,86.980769,2.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70013,2,13,81.25,78.788462,12.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70013,2,13,87.25,83.211538,6.5,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70014,2,13,76.875,76.875,16.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70014,2,13,76.875,76.875,16.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70014,2,13,87.5,82.586538,6.25,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70015,2,13,91.0,86.288462,2.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70015,2,13,78.75,78.75,15.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70015,2,13,91.0,85.346154,2.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70016,2,13,90.75,90.75,3.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70016,2,13,91.625,91.221154,2.125,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70016,2,13,90.75,90.75,3.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70017,2,13,93.75,90.461538,0.0,1,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70017,2,13,88.625,82.201923,5.125,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70017,2,13,91.875,87.461538,1.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70018,2,13,90.0,85.711538,3.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70018,2,13,78.75,70.903846,15.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70018,2,13,89.125,86.788462,4.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70019,2,13,92.125,85.682692,1.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70019,2,13,87.125,85.682692,6.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70019,2,13,88.625,78.826923,5.125,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70020,2,13,84.875,83.144231,8.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
