source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations,development_target
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80000,3,12,92.8,92.8,5.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80000,3,12,92.8,92.8,5.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80000,3,12,92.8,92.8,5.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80000,3,12,98.7,98.208333,0.0,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.25_0.00,80000,3,12,92.8,92.8,5.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.40_0.05,80000,3,12,92.8,92.8,5.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80000,3,12,92.8,92.8,5.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80001,3,12,91.8,88.525,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80001,3,12,83.9,80.866667,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80001,3,12,91.8,88.525,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80001,3,12,84.0,82.816667,14.7,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.25_0.00,80001,3,12,83.9,82.833333,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.40_0.05,80001,3,12,83.9,82.9,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80001,3,12,85.4,84.283333,13.3,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80002,3,12,83.9,82.325,14.8,0,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80002,3,12,83.9,78.475,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80002,3,12,83.9,80.266667,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80002,3,12,83.9,81.975,14.8,0,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.25_0.00,80002,3,12,83.9,76.283333,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.40_0.05,80002,3,12,83.9,76.283333,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80002,3,12,83.9,76.283333,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80003,3,12,84.0,61.891667,14.7,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80003,3,12,83.9,72.258333,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80003,3,12,83.9,77.633333,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80003,3,12,83.9,71.366667,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.25_0.00,80003,3,12,83.9,79.85,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.40_0.05,80003,3,12,83.9,79.566667,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80003,3,12,85.4,80.441667,13.3,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80004,3,12,91.8,86.9,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80004,3,12,83.9,78.933333,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80004,3,12,91.8,88.533333,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80004,3,12,83.9,81.816667,14.8,0,2,192,real_reizman_suzuki_case_1
