target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90000,3,10,baumgartner_cn_aniline_ephos_006;baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_004,,96.4441,92.83996,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90001,3,10,baumgartner_cn_aniline_ephos_026;baumgartner_cn_aniline_ephos_021;baumgartner_cn_aniline_ephos_013,,96.4441,69.57092,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90002,3,10,baumgartner_cn_aniline_ephos_034;baumgartner_cn_aniline_ephos_028;baumgartner_cn_aniline_ephos_011,,96.4441,92.23927,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90003,3,10,baumgartner_cn_aniline_ephos_008;baumgartner_cn_aniline_ephos_012;baumgartner_cn_aniline_ephos_019,,98.6297,93.05249,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90004,3,10,baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_019;baumgartner_cn_aniline_ephos_016,,96.4441,94.95884,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90005,3,10,baumgartner_cn_aniline_ephos_006;baumgartner_cn_aniline_ephos_009;baumgartner_cn_aniline_ephos_013,,96.4441,94.95884,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90006,3,10,baumgartner_cn_aniline_ephos_028;baumgartner_cn_aniline_ephos_012;baumgartner_cn_aniline_ephos_027,,96.4441,92.83996,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90007,3,10,baumgartner_cn_aniline_ephos_015;baumgartner_cn_aniline_ephos_023;baumgartner_cn_aniline_ephos_013,,96.4441,82.47684,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90008,3,10,baumgartner_cn_aniline_ephos_011;baumgartner_cn_aniline_ephos_019;baumgartner_cn_aniline_ephos_015,,96.4441,63.86767,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90009,3,10,baumgartner_cn_aniline_ephos_030;baumgartner_cn_aniline_ephos_001;baumgartner_cn_aniline_ephos_004,,96.4441,89.29106,2.1856,1
