target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94000,3,10,baumgartner_suzuki_minlp2_058;baumgartner_suzuki_minlp2_010;baumgartner_suzuki_minlp2_054,,100.0,97.97951,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94001,3,10,baumgartner_suzuki_minlp2_057;baumgartner_suzuki_minlp2_010;baumgartner_suzuki_minlp2_054,,100.0,95.61776,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94002,3,10,baumgartner_suzuki_minlp2_037;baumgartner_suzuki_minlp2_012;baumgartner_suzuki_minlp2_035,,91.819,91.819,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94003,3,10,baumgartner_suzuki_minlp2_052;baumgartner_suzuki_minlp2_016;baumgartner_suzuki_minlp2_032,,100.0,88.91264,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94004,3,10,baumgartner_suzuki_minlp2_017;baumgartner_suzuki_minlp2_003;baumgartner_suzuki_minlp2_052,,100.0,88.8797,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94005,3,10,baumgartner_suzuki_minlp2_034;baumgartner_suzuki_minlp2_055;baumgartner_suzuki_minlp2_040,,100.0,100.0,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94006,3,10,baumgartner_suzuki_minlp2_012;baumgartner_suzuki_minlp2_020;baumgartner_suzuki_minlp2_039,,91.819,91.819,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94007,3,10,baumgartner_suzuki_minlp2_057;baumgartner_suzuki_minlp2_002;baumgartner_suzuki_minlp2_035,,91.819,85.40901,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94008,3,10,baumgartner_suzuki_minlp2_026;baumgartner_suzuki_minlp2_014;baumgartner_suzuki_minlp2_012,,91.819,91.819,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94009,3,10,baumgartner_suzuki_minlp2_010;baumgartner_suzuki_minlp2_006;baumgartner_suzuki_minlp2_055,,81.2973,74.86607,18.7027,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94010,3,10,baumgartner_suzuki_minlp2_014;baumgartner_suzuki_minlp2_013;baumgartner_suzuki_minlp2_042,,91.819,89.3834,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94011,3,10,baumgartner_suzuki_minlp2_054;baumgartner_suzuki_minlp2_055;baumgartner_suzuki_minlp2_022,,81.2973,75.26677,18.7027,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94012,3,10,baumgartner_suzuki_minlp2_033;baumgartner_suzuki_minlp2_028;baumgartner_suzuki_minlp2_024,,91.819,90.5503,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94013,3,10,baumgartner_suzuki_minlp2_010;baumgartner_suzuki_minlp2_056;baumgartner_suzuki_minlp2_026,,100.0,94.13341,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94014,3,10,baumgartner_suzuki_minlp2_058;baumgartner_suzuki_minlp2_049;baumgartner_suzuki_minlp2_011,,91.819,91.09867,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94015,3,10,baumgartner_suzuki_minlp2_024;baumgartner_suzuki_minlp2_003;baumgartner_suzuki_minlp2_039,,100.0,100.0,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94016,3,10,baumgartner_suzuki_minlp2_041;baumgartner_suzuki_minlp2_035;baumgartner_suzuki_minlp2_042,,91.819,90.83423,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94017,3,10,baumgartner_suzuki_minlp2_001;baumgartner_suzuki_minlp2_054;baumgartner_suzuki_minlp2_026,,100.0,94.18363,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94018,3,10,baumgartner_suzuki_minlp2_025;baumgartner_suzuki_minlp2_058;baumgartner_suzuki_minlp2_038,,91.819,87.48999,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94019,3,10,baumgartner_suzuki_minlp2_045;baumgartner_suzuki_minlp2_053;baumgartner_suzuki_minlp2_028,,91.819,83.34775,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94020,3,10,baumgartner_suzuki_minlp2_034;baumgartner_suzuki_minlp2_009;baumgartner_suzuki_minlp2_035,,91.819,87.95587,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94021,3,10,baumgartner_suzuki_minlp2_005;baumgartner_suzuki_minlp2_059;baumgartner_suzuki_minlp2_052,,100.0,100.0,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94022,3,10,baumgartner_suzuki_minlp2_021;baumgartner_suzuki_minlp2_006;baumgartner_suzuki_minlp2_043,,100.0,100.0,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94023,3,10,baumgartner_suzuki_minlp2_028;baumgartner_suzuki_minlp2_021;baumgartner_suzuki_minlp2_024,,100.0,98.54755,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94024,3,10,baumgartner_suzuki_minlp2_021;baumgartner_suzuki_minlp2_053;baumgartner_suzuki_minlp2_051,,91.819,88.42184,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,94025,3,10,baumgartner_suzuki_minlp2_055;baumgartner_suzuki_minlp2_012;baumgartner_suzuki_minlp2_013,,91.819,91.819,8.181,1
