target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93000,3,10,baumgartner_cn_aniline_ephos_015;baumgartner_cn_aniline_ephos_018;baumgartner_cn_aniline_ephos_014,,98.6297,71.059,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93001,3,10,baumgartner_cn_aniline_ephos_004;baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_006,,96.4441,90.85732,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93002,3,10,baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_029;baumgartner_cn_aniline_ephos_023,,98.6297,79.9857,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93003,3,10,baumgartner_cn_aniline_ephos_010;baumgartner_cn_aniline_ephos_001;baumgartner_cn_aniline_ephos_024,,98.6297,91.41025,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93004,3,10,baumgartner_cn_aniline_ephos_025;baumgartner_cn_aniline_ephos_023;baumgartner_cn_aniline_ephos_012,,96.4441,75.66681,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93005,3,10,baumgartner_cn_aniline_ephos_008;baumgartner_cn_aniline_ephos_012;baumgartner_cn_aniline_ephos_006,,96.4441,67.39285,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93006,3,10,baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_014;baumgartner_cn_aniline_ephos_033,,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93007,3,10,baumgartner_cn_aniline_ephos_030;baumgartner_cn_aniline_ephos_016;baumgartner_cn_aniline_ephos_008,,96.4441,70.35287,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93008,3,10,baumgartner_cn_aniline_ephos_016;baumgartner_cn_aniline_ephos_014;baumgartner_cn_aniline_ephos_020,,96.4441,89.97215,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93009,3,10,baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_003;baumgartner_cn_aniline_ephos_009,,96.4441,92.17908,2.1856,1
