target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94000,3,10,baumgartner_cn_phenethylamine_alphos_012;baumgartner_cn_phenethylamine_alphos_010;baumgartner_cn_phenethylamine_alphos_016,,98.5826,98.12572,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94001,3,10,baumgartner_cn_phenethylamine_alphos_002;baumgartner_cn_phenethylamine_alphos_004;baumgartner_cn_phenethylamine_alphos_007,,98.5826,94.90879,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94002,3,10,baumgartner_cn_phenethylamine_alphos_004;baumgartner_cn_phenethylamine_alphos_014;baumgartner_cn_phenethylamine_alphos_019,,98.5826,97.32536,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94003,3,10,baumgartner_cn_phenethylamine_alphos_008;baumgartner_cn_phenethylamine_alphos_009;baumgartner_cn_phenethylamine_alphos_004,,98.5826,97.61132,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94004,3,10,baumgartner_cn_phenethylamine_alphos_010;baumgartner_cn_phenethylamine_alphos_013;baumgartner_cn_phenethylamine_alphos_008,,98.5826,97.55462,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94005,3,10,baumgartner_cn_phenethylamine_alphos_006;baumgartner_cn_phenethylamine_alphos_009;baumgartner_cn_phenethylamine_alphos_004,,98.5826,97.38288,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94006,3,10,baumgartner_cn_phenethylamine_alphos_019;baumgartner_cn_phenethylamine_alphos_020;baumgartner_cn_phenethylamine_alphos_010,,98.5826,97.89728,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94007,3,10,baumgartner_cn_phenethylamine_alphos_015;baumgartner_cn_phenethylamine_alphos_006;baumgartner_cn_phenethylamine_alphos_010,,98.5826,98.12572,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94008,3,10,baumgartner_cn_phenethylamine_alphos_004;baumgartner_cn_phenethylamine_alphos_003;baumgartner_cn_phenethylamine_alphos_016,,98.5826,97.53361,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94009,3,10,baumgartner_cn_phenethylamine_alphos_001;baumgartner_cn_phenethylamine_alphos_016;baumgartner_cn_phenethylamine_alphos_015,,97.4404,96.60905,1.1422,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94010,3,10,baumgartner_cn_phenethylamine_alphos_007;baumgartner_cn_phenethylamine_alphos_013;baumgartner_cn_phenethylamine_alphos_016,,98.5826,93.93836,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94011,3,10,baumgartner_cn_phenethylamine_alphos_008;baumgartner_cn_phenethylamine_alphos_019;baumgartner_cn_phenethylamine_alphos_012,,98.5826,97.40859,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94012,3,10,baumgartner_cn_phenethylamine_alphos_019;baumgartner_cn_phenethylamine_alphos_011;baumgartner_cn_phenethylamine_alphos_006,,98.5826,98.37143,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94013,3,10,baumgartner_cn_phenethylamine_alphos_007;baumgartner_cn_phenethylamine_alphos_016;baumgartner_cn_phenethylamine_alphos_013,,98.5826,93.93836,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94014,3,10,baumgartner_cn_phenethylamine_alphos_004;baumgartner_cn_phenethylamine_alphos_007;baumgartner_cn_phenethylamine_alphos_012,,98.5826,97.69455,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94015,3,10,baumgartner_cn_phenethylamine_alphos_018;baumgartner_cn_phenethylamine_alphos_015;baumgartner_cn_phenethylamine_alphos_009,,98.5826,97.21114,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94016,3,10,baumgartner_cn_phenethylamine_alphos_010;baumgartner_cn_phenethylamine_alphos_021;baumgartner_cn_phenethylamine_alphos_004,,98.5826,97.55462,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94017,3,10,baumgartner_cn_phenethylamine_alphos_011;baumgartner_cn_phenethylamine_alphos_019;baumgartner_cn_phenethylamine_alphos_017,,98.5826,98.37143,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94018,3,10,baumgartner_cn_phenethylamine_alphos_010;baumgartner_cn_phenethylamine_alphos_018;baumgartner_cn_phenethylamine_alphos_015,,98.5826,98.12572,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94019,3,10,baumgartner_cn_phenethylamine_alphos_015;baumgartner_cn_phenethylamine_alphos_012;baumgartner_cn_phenethylamine_alphos_022,,98.5826,98.23065,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94020,3,10,baumgartner_cn_phenethylamine_alphos_010;baumgartner_cn_phenethylamine_alphos_014;baumgartner_cn_phenethylamine_alphos_018,,98.5826,98.12572,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94021,3,10,baumgartner_cn_phenethylamine_alphos_004;baumgartner_cn_phenethylamine_alphos_005;baumgartner_cn_phenethylamine_alphos_016,,98.5826,97.81324,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94022,3,10,baumgartner_cn_phenethylamine_alphos_021;baumgartner_cn_phenethylamine_alphos_007;baumgartner_cn_phenethylamine_alphos_014,,98.5826,97.32536,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94023,3,10,baumgartner_cn_phenethylamine_alphos_002;baumgartner_cn_phenethylamine_alphos_013;baumgartner_cn_phenethylamine_alphos_022,,97.8787,97.8787,0.7039,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94024,3,10,baumgartner_cn_phenethylamine_alphos_018;baumgartner_cn_phenethylamine_alphos_005;baumgartner_cn_phenethylamine_alphos_019,,98.5826,96.38243,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94025,3,10,baumgartner_cn_phenethylamine_alphos_002;baumgartner_cn_phenethylamine_alphos_010;baumgartner_cn_phenethylamine_alphos_007,,97.8787,97.48423,0.7039,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94026,3,10,baumgartner_cn_phenethylamine_alphos_002;baumgartner_cn_phenethylamine_alphos_017;baumgartner_cn_phenethylamine_alphos_015,,98.5826,96.86584,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94027,3,10,baumgartner_cn_phenethylamine_alphos_012;baumgartner_cn_phenethylamine_alphos_009;baumgartner_cn_phenethylamine_alphos_000,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94028,3,10,baumgartner_cn_phenethylamine_alphos_015;baumgartner_cn_phenethylamine_alphos_013;baumgartner_cn_phenethylamine_alphos_017,,98.5826,96.75426,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94029,3,10,baumgartner_cn_phenethylamine_alphos_011;baumgartner_cn_phenethylamine_alphos_006;baumgartner_cn_phenethylamine_alphos_007,,98.5826,95.20029,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94030,3,10,baumgartner_cn_phenethylamine_alphos_021;baumgartner_cn_phenethylamine_alphos_011;baumgartner_cn_phenethylamine_alphos_017,,98.5826,98.12572,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94031,3,10,baumgartner_cn_phenethylamine_alphos_007;baumgartner_cn_phenethylamine_alphos_002;baumgartner_cn_phenethylamine_alphos_001,,97.4404,95.8481,1.1422,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94032,3,10,baumgartner_cn_phenethylamine_alphos_012;baumgartner_cn_phenethylamine_alphos_011;baumgartner_cn_phenethylamine_alphos_003,,98.5826,97.5126,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94033,3,10,baumgartner_cn_phenethylamine_alphos_001;baumgartner_cn_phenethylamine_alphos_017;baumgartner_cn_phenethylamine_alphos_018,,98.5826,97.15444,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94034,3,10,baumgartner_cn_phenethylamine_alphos_007;baumgartner_cn_phenethylamine_alphos_022;baumgartner_cn_phenethylamine_alphos_019,,98.5826,98.08987,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94035,3,10,baumgartner_cn_phenethylamine_alphos_019;baumgartner_cn_phenethylamine_alphos_006;baumgartner_cn_phenethylamine_alphos_013,,98.5826,98.0115,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94036,3,10,baumgartner_cn_phenethylamine_alphos_017;baumgartner_cn_phenethylamine_alphos_009;baumgartner_cn_phenethylamine_alphos_022,,98.5826,98.37143,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94037,3,10,baumgartner_cn_phenethylamine_alphos_018;baumgartner_cn_phenethylamine_alphos_010;baumgartner_cn_phenethylamine_alphos_002,,98.5826,97.89728,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94038,3,10,baumgartner_cn_phenethylamine_alphos_017;baumgartner_cn_phenethylamine_alphos_022;baumgartner_cn_phenethylamine_alphos_016,,97.8787,97.8787,0.7039,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94039,3,10,baumgartner_cn_phenethylamine_alphos_003;baumgartner_cn_phenethylamine_alphos_012;baumgartner_cn_phenethylamine_alphos_006,,98.5826,97.64783,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94040,3,10,baumgartner_cn_phenethylamine_alphos_009;baumgartner_cn_phenethylamine_alphos_005;baumgartner_cn_phenethylamine_alphos_002,,97.4404,97.29333,1.1422,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94041,3,10,baumgartner_cn_phenethylamine_alphos_016;baumgartner_cn_phenethylamine_alphos_005;baumgartner_cn_phenethylamine_alphos_013,,98.5826,97.91906,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94042,3,10,baumgartner_cn_phenethylamine_alphos_009;baumgartner_cn_phenethylamine_alphos_017;baumgartner_cn_phenethylamine_alphos_002,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94043,3,10,baumgartner_cn_phenethylamine_alphos_019;baumgartner_cn_phenethylamine_alphos_022;baumgartner_cn_phenethylamine_alphos_018,,98.5826,98.23065,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94044,3,10,baumgartner_cn_phenethylamine_alphos_002;baumgartner_cn_phenethylamine_alphos_004;baumgartner_cn_phenethylamine_alphos_005,,97.8787,97.46322,0.7039,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94045,3,10,baumgartner_cn_phenethylamine_alphos_009;baumgartner_cn_phenethylamine_alphos_016;baumgartner_cn_phenethylamine_alphos_018,,98.5826,97.38288,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94046,3,10,baumgartner_cn_phenethylamine_alphos_012;baumgartner_cn_phenethylamine_alphos_015;baumgartner_cn_phenethylamine_alphos_020,,98.5826,97.55462,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,94047,3,10,baumgartner_cn_phenethylamine_alphos_014;baumgartner_cn_phenethylamine_alphos_022;baumgartner_cn_phenethylamine_alphos_010,,98.5826,98.23065,0.0,1
