target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_morpholine_alphos,llm_hypothesis_initial_design,-1,3,10,baumgartner_cn_morpholine_alphos_018;baumgartner_cn_morpholine_alphos_009;baumgartner_cn_morpholine_alphos_001,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,72.5938,71.32824,0.0,1
real_baumgartner_cn_morpholine_alphos,llm_hypothesis_compiled_initial_design,-1,3,10,baumgartner_cn_morpholine_alphos_001;baumgartner_cn_morpholine_alphos_018;baumgartner_cn_morpholine_alphos_003,real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_alphos,72.5938,65.25945,0.0,1
real_baumgartner_cn_morpholine_alphos,fixed_v2_initial_design,-1,3,10,baumgartner_cn_morpholine_alphos_001;baumgartner_cn_morpholine_alphos_017;baumgartner_cn_morpholine_alphos_003,real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_alphos,72.5938,66.12558,0.0,1
real_baumgartner_cn_morpholine_alphos,target_gp_space_filling,-1,3,10,baumgartner_cn_morpholine_alphos_001;baumgartner_cn_morpholine_alphos_017;baumgartner_cn_morpholine_alphos_011,,72.5938,61.4873,0.0,1
real_baumgartner_cn_morpholine_alphos,matched_shortlist_random_initial,96000,3,10,baumgartner_cn_morpholine_alphos_017;baumgartner_cn_morpholine_alphos_020;baumgartner_cn_morpholine_alphos_008,,72.5938,72.5938,0.0,1
real_baumgartner_cn_morpholine_alphos,target_gp_random_initial,96000,3,10,baumgartner_cn_morpholine_alphos_017;baumgartner_cn_morpholine_alphos_021;baumgartner_cn_morpholine_alphos_025,,68.5199,68.5199,4.0739,1
real_baumgartner_cn_morpholine_alphos,matched_shortlist_random_initial,96001,3,10,baumgartner_cn_morpholine_alphos_009;baumgartner_cn_morpholine_alphos_017;baumgartner_cn_morpholine_alphos_019,,72.5938,68.92729,0.0,1
real_baumgartner_cn_morpholine_alphos,target_gp_random_initial,96001,3,10,baumgartner_cn_morpholine_alphos_013;baumgartner_cn_morpholine_alphos_006;baumgartner_cn_morpholine_alphos_025,,68.5199,68.5199,4.0739,1
real_baumgartner_cn_morpholine_alphos,matched_shortlist_random_initial,96002,3,10,baumgartner_cn_morpholine_alphos_011;baumgartner_cn_morpholine_alphos_022;baumgartner_cn_morpholine_alphos_006,,72.5938,66.6284,0.0,1
real_baumgartner_cn_morpholine_alphos,target_gp_random_initial,96002,3,10,baumgartner_cn_morpholine_alphos_009;baumgartner_cn_morpholine_alphos_015;baumgartner_cn_morpholine_alphos_002,,72.5938,64.12681,0.0,1
real_baumgartner_cn_morpholine_alphos,matched_shortlist_random_initial,96003,3,10,baumgartner_cn_morpholine_alphos_025;baumgartner_cn_morpholine_alphos_000;baumgartner_cn_morpholine_alphos_019,,72.5938,69.33468,0.0,1
real_baumgartner_cn_morpholine_alphos,target_gp_random_initial,96003,3,10,baumgartner_cn_morpholine_alphos_019;baumgartner_cn_morpholine_alphos_025;baumgartner_cn_morpholine_alphos_016,,72.5938,69.33468,0.0,1
real_baumgartner_cn_morpholine_alphos,matched_shortlist_random_initial,96004,3,10,baumgartner_cn_morpholine_alphos_022;baumgartner_cn_morpholine_alphos_018;baumgartner_cn_morpholine_alphos_013,,72.5938,72.5938,0.0,1
real_baumgartner_cn_morpholine_alphos,target_gp_random_initial,96004,3,10,baumgartner_cn_morpholine_alphos_010;baumgartner_cn_morpholine_alphos_025;baumgartner_cn_morpholine_alphos_006,,68.5199,68.5199,4.0739,1
real_baumgartner_cn_morpholine_alphos,matched_shortlist_random_initial,96005,3,10,baumgartner_cn_morpholine_alphos_023;baumgartner_cn_morpholine_alphos_003;baumgartner_cn_morpholine_alphos_008,,72.5938,66.575,0.0,1
real_baumgartner_cn_morpholine_alphos,target_gp_random_initial,96005,3,10,baumgartner_cn_morpholine_alphos_018;baumgartner_cn_morpholine_alphos_004;baumgartner_cn_morpholine_alphos_016,,72.5938,68.72691,0.0,1
real_baumgartner_cn_morpholine_alphos,matched_shortlist_random_initial,96006,3,10,baumgartner_cn_morpholine_alphos_023;baumgartner_cn_morpholine_alphos_006;baumgartner_cn_morpholine_alphos_011,,72.5938,66.575,0.0,1
real_baumgartner_cn_morpholine_alphos,target_gp_random_initial,96006,3,10,baumgartner_cn_morpholine_alphos_013;baumgartner_cn_morpholine_alphos_018;baumgartner_cn_morpholine_alphos_002,,72.5938,64.86534,0.0,1
real_baumgartner_cn_morpholine_alphos,matched_shortlist_random_initial,96007,3,10,baumgartner_cn_morpholine_alphos_011;baumgartner_cn_morpholine_alphos_025;baumgartner_cn_morpholine_alphos_017,,68.5199,68.5199,4.0739,1
real_baumgartner_cn_morpholine_alphos,target_gp_random_initial,96007,3,10,baumgartner_cn_morpholine_alphos_006;baumgartner_cn_morpholine_alphos_003;baumgartner_cn_morpholine_alphos_000,,72.5938,58.73496,0.0,1
