target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_morpholine_tbubrettphos,llm_hypothesis_initial_design,-1,3,10,baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_029;baumgartner_cn_morpholine_tbubrettphos_027,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,12.2435,12.2435,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,llm_hypothesis_reflective_design,-1,3,10,baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_029;baumgartner_cn_morpholine_tbubrettphos_027,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,12.2435,12.2435,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,llm_hypothesis_compiled_initial_design,-1,3,10,baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_029;baumgartner_cn_morpholine_tbubrettphos_003,real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_phenethylamine_tbubrettphos,12.2435,12.2435,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,fixed_v2_initial_design,-1,3,10,baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_003,real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_phenethylamine_tbubrettphos,12.2435,7.82138,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_space_filling,-1,3,10,baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_003;baumgartner_cn_morpholine_tbubrettphos_010,,12.2435,4.72335,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96000,3,10,baumgartner_cn_morpholine_tbubrettphos_021;baumgartner_cn_morpholine_tbubrettphos_010;baumgartner_cn_morpholine_tbubrettphos_027,,2.3552,1.63225,9.8883,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96000,3,10,baumgartner_cn_morpholine_tbubrettphos_026;baumgartner_cn_morpholine_tbubrettphos_011;baumgartner_cn_morpholine_tbubrettphos_001,,2.3552,2.3552,9.8883,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96001,3,10,baumgartner_cn_morpholine_tbubrettphos_020;baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_028,,12.2435,11.3551,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96001,3,10,baumgartner_cn_morpholine_tbubrettphos_013;baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_007,,12.2435,4.72335,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96002,3,10,baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_020;baumgartner_cn_morpholine_tbubrettphos_005,,12.2435,9.0235,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96002,3,10,baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_015,,12.2435,6.83255,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96003,3,10,baumgartner_cn_morpholine_tbubrettphos_026;baumgartner_cn_morpholine_tbubrettphos_010;baumgartner_cn_morpholine_tbubrettphos_021,,12.2435,6.08842,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96003,3,10,baumgartner_cn_morpholine_tbubrettphos_016;baumgartner_cn_morpholine_tbubrettphos_020;baumgartner_cn_morpholine_tbubrettphos_029,,12.2435,12.2435,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96004,3,10,baumgartner_cn_morpholine_tbubrettphos_005;baumgartner_cn_morpholine_tbubrettphos_002;baumgartner_cn_morpholine_tbubrettphos_015,,3.3247,3.3247,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96004,3,10,baumgartner_cn_morpholine_tbubrettphos_018;baumgartner_cn_morpholine_tbubrettphos_027;baumgartner_cn_morpholine_tbubrettphos_006,,12.2435,4.6792,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96005,3,10,baumgartner_cn_morpholine_tbubrettphos_026;baumgartner_cn_morpholine_tbubrettphos_020;baumgartner_cn_morpholine_tbubrettphos_027,,12.2435,7.7355,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96005,3,10,baumgartner_cn_morpholine_tbubrettphos_019;baumgartner_cn_morpholine_tbubrettphos_017;baumgartner_cn_morpholine_tbubrettphos_024,,12.2435,6.85515,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96006,3,10,baumgartner_cn_morpholine_tbubrettphos_002;baumgartner_cn_morpholine_tbubrettphos_005;baumgartner_cn_morpholine_tbubrettphos_027,,3.3247,3.3247,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96006,3,10,baumgartner_cn_morpholine_tbubrettphos_011;baumgartner_cn_morpholine_tbubrettphos_002;baumgartner_cn_morpholine_tbubrettphos_027,,3.3247,3.3247,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96007,3,10,baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_005,,3.3247,2.45215,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96007,3,10,baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_006;baumgartner_cn_morpholine_tbubrettphos_022,,5.8035,3.38969,6.44,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96008,3,10,baumgartner_cn_morpholine_tbubrettphos_019;baumgartner_cn_morpholine_tbubrettphos_005;baumgartner_cn_morpholine_tbubrettphos_020,,12.2435,11.5772,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96008,3,10,baumgartner_cn_morpholine_tbubrettphos_008;baumgartner_cn_morpholine_tbubrettphos_016;baumgartner_cn_morpholine_tbubrettphos_012,,12.2435,6.35893,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96009,3,10,baumgartner_cn_morpholine_tbubrettphos_021;baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_001,,12.2435,7.07725,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96009,3,10,baumgartner_cn_morpholine_tbubrettphos_021;baumgartner_cn_morpholine_tbubrettphos_024;baumgartner_cn_morpholine_tbubrettphos_000,,12.2435,7.07725,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96010,3,10,baumgartner_cn_morpholine_tbubrettphos_028;baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_001,,12.2435,11.5772,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96010,3,10,baumgartner_cn_morpholine_tbubrettphos_008;baumgartner_cn_morpholine_tbubrettphos_024;baumgartner_cn_morpholine_tbubrettphos_028,,12.2435,11.5772,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96011,3,10,baumgartner_cn_morpholine_tbubrettphos_021;baumgartner_cn_morpholine_tbubrettphos_013;baumgartner_cn_morpholine_tbubrettphos_009,,2.3552,2.08108,9.8883,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96011,3,10,baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_020;baumgartner_cn_morpholine_tbubrettphos_003,,12.2435,11.3551,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96012,3,10,baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_014;baumgartner_cn_morpholine_tbubrettphos_010,,5.8035,3.73452,6.44,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96012,3,10,baumgartner_cn_morpholine_tbubrettphos_017;baumgartner_cn_morpholine_tbubrettphos_003;baumgartner_cn_morpholine_tbubrettphos_012,,12.2435,5.58214,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96013,3,10,baumgartner_cn_morpholine_tbubrettphos_028;baumgartner_cn_morpholine_tbubrettphos_027;baumgartner_cn_morpholine_tbubrettphos_003,,12.2435,11.5772,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96013,3,10,baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_024;baumgartner_cn_morpholine_tbubrettphos_017,,12.2435,7.84398,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96014,3,10,baumgartner_cn_morpholine_tbubrettphos_026;baumgartner_cn_morpholine_tbubrettphos_029;baumgartner_cn_morpholine_tbubrettphos_001,,12.2435,12.2435,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96014,3,10,baumgartner_cn_morpholine_tbubrettphos_010;baumgartner_cn_morpholine_tbubrettphos_029;baumgartner_cn_morpholine_tbubrettphos_025,,12.2435,12.2435,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96015,3,10,baumgartner_cn_morpholine_tbubrettphos_003;baumgartner_cn_morpholine_tbubrettphos_010;baumgartner_cn_morpholine_tbubrettphos_021,,12.2435,6.08842,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96015,3,10,baumgartner_cn_morpholine_tbubrettphos_003;baumgartner_cn_morpholine_tbubrettphos_025;baumgartner_cn_morpholine_tbubrettphos_006,,5.8035,2.76068,6.44,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96016,3,10,baumgartner_cn_morpholine_tbubrettphos_019;baumgartner_cn_morpholine_tbubrettphos_028;baumgartner_cn_morpholine_tbubrettphos_027,,12.2435,11.7993,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96016,3,10,baumgartner_cn_morpholine_tbubrettphos_017;baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_018,,12.2435,6.80995,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96017,3,10,baumgartner_cn_morpholine_tbubrettphos_003;baumgartner_cn_morpholine_tbubrettphos_028;baumgartner_cn_morpholine_tbubrettphos_009,,12.2435,11.3551,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96017,3,10,baumgartner_cn_morpholine_tbubrettphos_028;baumgartner_cn_morpholine_tbubrettphos_000;baumgartner_cn_morpholine_tbubrettphos_002,,12.2435,11.5772,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96018,3,10,baumgartner_cn_morpholine_tbubrettphos_003;baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_026,,5.8035,3.11377,6.44,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96018,3,10,baumgartner_cn_morpholine_tbubrettphos_024;baumgartner_cn_morpholine_tbubrettphos_006;baumgartner_cn_morpholine_tbubrettphos_005,,3.3247,2.743,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96019,3,10,baumgartner_cn_morpholine_tbubrettphos_021;baumgartner_cn_morpholine_tbubrettphos_028;baumgartner_cn_morpholine_tbubrettphos_001,,12.2435,12.0214,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96019,3,10,baumgartner_cn_morpholine_tbubrettphos_025;baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_012,,5.8035,3.32189,6.44,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96020,3,10,baumgartner_cn_morpholine_tbubrettphos_027;baumgartner_cn_morpholine_tbubrettphos_019;baumgartner_cn_morpholine_tbubrettphos_013,,3.3247,1.62979,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96020,3,10,baumgartner_cn_morpholine_tbubrettphos_017;baumgartner_cn_morpholine_tbubrettphos_015;baumgartner_cn_morpholine_tbubrettphos_024,,12.2435,7.81618,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96021,3,10,baumgartner_cn_morpholine_tbubrettphos_020;baumgartner_cn_morpholine_tbubrettphos_010;baumgartner_cn_morpholine_tbubrettphos_003,,12.2435,11.5772,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96021,3,10,baumgartner_cn_morpholine_tbubrettphos_029;baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_002,,12.2435,12.2435,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96022,3,10,baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_026,,12.2435,8.61071,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96022,3,10,baumgartner_cn_morpholine_tbubrettphos_024;baumgartner_cn_morpholine_tbubrettphos_028;baumgartner_cn_morpholine_tbubrettphos_003,,12.2435,11.5772,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96023,3,10,baumgartner_cn_morpholine_tbubrettphos_010;baumgartner_cn_morpholine_tbubrettphos_002;baumgartner_cn_morpholine_tbubrettphos_014,,12.2435,8.67598,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96023,3,10,baumgartner_cn_morpholine_tbubrettphos_003;baumgartner_cn_morpholine_tbubrettphos_007;baumgartner_cn_morpholine_tbubrettphos_002,,12.2435,11.3551,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96024,3,10,baumgartner_cn_morpholine_tbubrettphos_022;baumgartner_cn_morpholine_tbubrettphos_019;baumgartner_cn_morpholine_tbubrettphos_002,,10.0225,4.66426,2.221,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96024,3,10,baumgartner_cn_morpholine_tbubrettphos_005;baumgartner_cn_morpholine_tbubrettphos_011;baumgartner_cn_morpholine_tbubrettphos_012,,3.3247,2.83995,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96025,3,10,baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_028;baumgartner_cn_morpholine_tbubrettphos_029,,12.2435,12.2435,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96025,3,10,baumgartner_cn_morpholine_tbubrettphos_020;baumgartner_cn_morpholine_tbubrettphos_012;baumgartner_cn_morpholine_tbubrettphos_023,,12.2435,11.5772,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96026,3,10,baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_005;baumgartner_cn_morpholine_tbubrettphos_013,,3.3247,2.83995,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96026,3,10,baumgartner_cn_morpholine_tbubrettphos_002;baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_027,,3.3247,3.3247,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96027,3,10,baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_003,,12.2435,4.37852,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96027,3,10,baumgartner_cn_morpholine_tbubrettphos_008;baumgartner_cn_morpholine_tbubrettphos_026;baumgartner_cn_morpholine_tbubrettphos_014,,2.3552,1.66539,9.8883,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96028,3,10,baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_014;baumgartner_cn_morpholine_tbubrettphos_019,,3.3247,1.82236,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96028,3,10,baumgartner_cn_morpholine_tbubrettphos_013;baumgartner_cn_morpholine_tbubrettphos_017;baumgartner_cn_morpholine_tbubrettphos_008,,2.3552,2.07828,9.8883,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96029,3,10,baumgartner_cn_morpholine_tbubrettphos_021;baumgartner_cn_morpholine_tbubrettphos_026;baumgartner_cn_morpholine_tbubrettphos_002,,12.2435,7.562,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96029,3,10,baumgartner_cn_morpholine_tbubrettphos_008;baumgartner_cn_morpholine_tbubrettphos_025;baumgartner_cn_morpholine_tbubrettphos_021,,12.2435,6.08842,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96030,3,10,baumgartner_cn_morpholine_tbubrettphos_013;baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_009,,5.8035,3.73452,6.44,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96030,3,10,baumgartner_cn_morpholine_tbubrettphos_025;baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_001,,12.2435,8.83281,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96031,3,10,baumgartner_cn_morpholine_tbubrettphos_027;baumgartner_cn_morpholine_tbubrettphos_009;baumgartner_cn_morpholine_tbubrettphos_015,,5.8035,3.30629,6.44,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96031,3,10,baumgartner_cn_morpholine_tbubrettphos_017;baumgartner_cn_morpholine_tbubrettphos_014;baumgartner_cn_morpholine_tbubrettphos_029,,12.2435,12.2435,0.0,1
real_baumgartner_cn_morpholine_tbubrettphos,matched_shortlist_random_initial,96032,3,10,baumgartner_cn_morpholine_tbubrettphos_003;baumgartner_cn_morpholine_tbubrettphos_001;baumgartner_cn_morpholine_tbubrettphos_002,,3.3247,3.3247,8.9188,1
real_baumgartner_cn_morpholine_tbubrettphos,target_gp_random_initial,96032,3,10,baumgartner_cn_morpholine_tbubrettphos_026;baumgartner_cn_morpholine_tbubrettphos_003;baumgartner_cn_morpholine_tbubrettphos_010,,5.8035,3.38969,6.44,1
