target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_phenethylamine_alphos,llm_hypothesis_initial_design,-1,3,10,baumgartner_cn_phenethylamine_alphos_020;baumgartner_cn_phenethylamine_alphos_013;baumgartner_cn_phenethylamine_alphos_014,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,98.5826,97.63599,0.0,1
real_baumgartner_cn_phenethylamine_alphos,llm_hypothesis_reflective_design,-1,3,10,baumgartner_cn_phenethylamine_alphos_020;baumgartner_cn_phenethylamine_alphos_013;baumgartner_cn_phenethylamine_alphos_014,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,98.5826,97.63599,0.0,1
real_baumgartner_cn_phenethylamine_alphos,llm_hypothesis_compiled_initial_design,-1,3,10,baumgartner_cn_phenethylamine_alphos_003;baumgartner_cn_phenethylamine_alphos_020;baumgartner_cn_phenethylamine_alphos_018,real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,98.5826,97.90645,0.0,1
real_baumgartner_cn_phenethylamine_alphos,fixed_v2_initial_design,-1,3,10,baumgartner_cn_phenethylamine_alphos_003;baumgartner_cn_phenethylamine_alphos_004;baumgartner_cn_phenethylamine_alphos_015,real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_space_filling,-1,3,10,baumgartner_cn_phenethylamine_alphos_018;baumgartner_cn_phenethylamine_alphos_017;baumgartner_cn_phenethylamine_alphos_005,,98.5826,97.72554,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96000,3,10,baumgartner_cn_phenethylamine_alphos_007;baumgartner_cn_phenethylamine_alphos_017;baumgartner_cn_phenethylamine_alphos_009,,97.4404,87.74533,1.1422,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96000,3,10,baumgartner_cn_phenethylamine_alphos_014;baumgartner_cn_phenethylamine_alphos_016;baumgartner_cn_phenethylamine_alphos_003,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96001,3,10,baumgartner_cn_phenethylamine_alphos_019;baumgartner_cn_phenethylamine_alphos_003;baumgartner_cn_phenethylamine_alphos_010,,98.5826,98.46838,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96001,3,10,baumgartner_cn_phenethylamine_alphos_020;baumgartner_cn_phenethylamine_alphos_021;baumgartner_cn_phenethylamine_alphos_005,,98.5826,97.657,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96002,3,10,baumgartner_cn_phenethylamine_alphos_012;baumgartner_cn_phenethylamine_alphos_019;baumgartner_cn_phenethylamine_alphos_000,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96002,3,10,baumgartner_cn_phenethylamine_alphos_002;baumgartner_cn_phenethylamine_alphos_009;baumgartner_cn_phenethylamine_alphos_019,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96003,3,10,baumgartner_cn_phenethylamine_alphos_018;baumgartner_cn_phenethylamine_alphos_017;baumgartner_cn_phenethylamine_alphos_007,,98.5826,97.4971,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96003,3,10,baumgartner_cn_phenethylamine_alphos_016;baumgartner_cn_phenethylamine_alphos_006;baumgartner_cn_phenethylamine_alphos_019,,98.5826,97.47444,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96004,3,10,baumgartner_cn_phenethylamine_alphos_000;baumgartner_cn_phenethylamine_alphos_005;baumgartner_cn_phenethylamine_alphos_020,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96004,3,10,baumgartner_cn_phenethylamine_alphos_018;baumgartner_cn_phenethylamine_alphos_022;baumgartner_cn_phenethylamine_alphos_002,,98.5826,98.08987,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96005,3,10,baumgartner_cn_phenethylamine_alphos_018;baumgartner_cn_phenethylamine_alphos_019;baumgartner_cn_phenethylamine_alphos_009,,98.5826,97.32536,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96005,3,10,baumgartner_cn_phenethylamine_alphos_018;baumgartner_cn_phenethylamine_alphos_015;baumgartner_cn_phenethylamine_alphos_017,,98.5826,96.55417,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96006,3,10,baumgartner_cn_phenethylamine_alphos_005;baumgartner_cn_phenethylamine_alphos_000;baumgartner_cn_phenethylamine_alphos_009,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96006,3,10,baumgartner_cn_phenethylamine_alphos_016;baumgartner_cn_phenethylamine_alphos_014;baumgartner_cn_phenethylamine_alphos_005,,98.5826,96.27557,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96007,3,10,baumgartner_cn_phenethylamine_alphos_012;baumgartner_cn_phenethylamine_alphos_021;baumgartner_cn_phenethylamine_alphos_000,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96007,3,10,baumgartner_cn_phenethylamine_alphos_020;baumgartner_cn_phenethylamine_alphos_003;baumgartner_cn_phenethylamine_alphos_010,,98.5826,98.12572,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96008,3,10,baumgartner_cn_phenethylamine_alphos_014;baumgartner_cn_phenethylamine_alphos_000;baumgartner_cn_phenethylamine_alphos_019,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96008,3,10,baumgartner_cn_phenethylamine_alphos_014;baumgartner_cn_phenethylamine_alphos_006;baumgartner_cn_phenethylamine_alphos_007,,98.5826,96.67408,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96009,3,10,baumgartner_cn_phenethylamine_alphos_007;baumgartner_cn_phenethylamine_alphos_003;baumgartner_cn_phenethylamine_alphos_012,,98.5826,97.5126,0.0,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96009,3,10,baumgartner_cn_phenethylamine_alphos_000;baumgartner_cn_phenethylamine_alphos_009;baumgartner_cn_phenethylamine_alphos_018,,98.5826,98.5826,0.0,1
real_baumgartner_cn_phenethylamine_alphos,matched_shortlist_random_initial,96010,3,10,baumgartner_cn_phenethylamine_alphos_010;baumgartner_cn_phenethylamine_alphos_021;baumgartner_cn_phenethylamine_alphos_012,,97.4404,97.4404,1.1422,1
real_baumgartner_cn_phenethylamine_alphos,target_gp_random_initial,96010,3,10,baumgartner_cn_phenethylamine_alphos_006;baumgartner_cn_phenethylamine_alphos_016;baumgartner_cn_phenethylamine_alphos_002,,98.5826,98.5826,0.0,1
