target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_suzuki_minlp2,llm_hypothesis_initial_design,-1,3,10,baumgartner_suzuki_minlp2_024;baumgartner_suzuki_minlp2_059;baumgartner_suzuki_minlp2_057,real_baumgartner_suzuki_minlp1,91.819,91.819,8.181,1
real_baumgartner_suzuki_minlp2,llm_hypothesis_reflective_design,-1,3,10,baumgartner_suzuki_minlp2_039;baumgartner_suzuki_minlp2_024;baumgartner_suzuki_minlp2_013,real_baumgartner_suzuki_minlp1,91.819,88.64725,8.181,1
real_baumgartner_suzuki_minlp2,llm_hypothesis_compiled_initial_design,-1,3,10,baumgartner_suzuki_minlp2_039;baumgartner_suzuki_minlp2_024;baumgartner_suzuki_minlp2_013,real_baumgartner_suzuki_minlp1,100.0,100.0,0.0,1
real_baumgartner_suzuki_minlp2,fixed_v2_initial_design,-1,3,10,baumgartner_suzuki_minlp2_039;baumgartner_suzuki_minlp2_038;baumgartner_suzuki_minlp2_028,real_baumgartner_suzuki_minlp1,100.0,98.06121,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_space_filling,-1,3,10,baumgartner_suzuki_minlp2_050;baumgartner_suzuki_minlp2_007;baumgartner_suzuki_minlp2_027,,91.819,89.40009,8.181,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96000,3,10,baumgartner_suzuki_minlp2_041;baumgartner_suzuki_minlp2_033;baumgartner_suzuki_minlp2_058,,91.819,88.54715,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96000,3,10,baumgartner_suzuki_minlp2_041;baumgartner_suzuki_minlp2_026;baumgartner_suzuki_minlp2_004,,91.819,90.6012,8.181,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96001,3,10,baumgartner_suzuki_minlp2_041;baumgartner_suzuki_minlp2_056;baumgartner_suzuki_minlp2_057,,91.819,82.27046,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96001,3,10,baumgartner_suzuki_minlp2_028;baumgartner_suzuki_minlp2_045;baumgartner_suzuki_minlp2_055,,91.819,86.6407,8.181,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96002,3,10,baumgartner_suzuki_minlp2_033;baumgartner_suzuki_minlp2_007;baumgartner_suzuki_minlp2_042,,91.819,89.85589,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96002,3,10,baumgartner_suzuki_minlp2_039;baumgartner_suzuki_minlp2_032;baumgartner_suzuki_minlp2_022,,91.819,84.97533,8.181,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96003,3,10,baumgartner_suzuki_minlp2_053;baumgartner_suzuki_minlp2_057;baumgartner_suzuki_minlp2_033,,85.2753,85.2753,14.7247,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96003,3,10,baumgartner_suzuki_minlp2_059;baumgartner_suzuki_minlp2_021;baumgartner_suzuki_minlp2_007,,100.0,100.0,0.0,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96004,3,10,baumgartner_suzuki_minlp2_059;baumgartner_suzuki_minlp2_007;baumgartner_suzuki_minlp2_042,,91.819,91.819,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96004,3,10,baumgartner_suzuki_minlp2_012;baumgartner_suzuki_minlp2_051;baumgartner_suzuki_minlp2_026,,91.819,91.819,8.181,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96005,3,10,baumgartner_suzuki_minlp2_041;baumgartner_suzuki_minlp2_047;baumgartner_suzuki_minlp2_048,,91.819,84.10278,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96005,3,10,baumgartner_suzuki_minlp2_055;baumgartner_suzuki_minlp2_056;baumgartner_suzuki_minlp2_010,,100.0,94.13341,0.0,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96006,3,10,baumgartner_suzuki_minlp2_057;baumgartner_suzuki_minlp2_012;baumgartner_suzuki_minlp2_047,,91.819,91.819,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96006,3,10,baumgartner_suzuki_minlp2_052;baumgartner_suzuki_minlp2_030;baumgartner_suzuki_minlp2_043,,81.9713,79.96417,18.0287,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96007,3,10,baumgartner_suzuki_minlp2_024;baumgartner_suzuki_minlp2_059;baumgartner_suzuki_minlp2_041,,91.819,88.64725,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96007,3,10,baumgartner_suzuki_minlp2_007;baumgartner_suzuki_minlp2_023;baumgartner_suzuki_minlp2_046,,91.819,82.90708,8.181,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96008,3,10,baumgartner_suzuki_minlp2_012;baumgartner_suzuki_minlp2_033;baumgartner_suzuki_minlp2_052,,91.819,91.819,8.181,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96008,3,10,baumgartner_suzuki_minlp2_004;baumgartner_suzuki_minlp2_011;baumgartner_suzuki_minlp2_035,,91.819,86.83562,8.181,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96009,3,10,baumgartner_suzuki_minlp2_048;baumgartner_suzuki_minlp2_027;baumgartner_suzuki_minlp2_057,,100.0,96.08894,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96009,3,10,baumgartner_suzuki_minlp2_017;baumgartner_suzuki_minlp2_034;baumgartner_suzuki_minlp2_014,,91.819,74.60228,8.181,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96010,3,10,baumgartner_suzuki_minlp2_040;baumgartner_suzuki_minlp2_033;baumgartner_suzuki_minlp2_027,,100.0,100.0,0.0,1
real_baumgartner_suzuki_minlp2,target_gp_random_initial,96010,3,10,baumgartner_suzuki_minlp2_010;baumgartner_suzuki_minlp2_055;baumgartner_suzuki_minlp2_051,,91.819,91.18465,8.181,1
real_baumgartner_suzuki_minlp2,matched_shortlist_random_initial,96011,3,10,baumgartner_suzuki_minlp2_050;baumgartner_suzuki_minlp2_041;baumgartner_suzuki_minlp2_027,,91.819,87.6319,8.181,1
