phase,case_id,domain,target_task,online_auc_delta_vs_same_initial_gp,online_final_delta_vs_same_initial_gp,full_auc_delta_vs_fixed_v2,full_final_delta_vs_fixed_v2,participation_rate,decision_authority_rate,mean_eligible_candidates,gp_override_rate,critic_revision_rate,source_transfer_active_rate,total_tokens
development,molecular_freesolv_to_esol,molecular_property,real_moleculenet_esol_common,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.3,0.0,0.8,166525
development,molecular_freesolv_to_lipophilicity,molecular_property,real_moleculenet_lipophilicity,6.325,4.875,15.75,9.75,1.0,1.0,5.0,0.4,0.0,0.6,171345
development,materials_expt_gap_to_dielectric,materials_property,real_matbench_dielectric,6.74515,0.0,15.378,13.1084,1.0,1.0,5.0,0.4,0.2,0.2,145588
development,materials_phonons_to_bulk_modulus,materials_property,real_matbench_log_kvrh,1.13022,0.0,0.11652,-1.6438,1.0,1.0,5.0,0.5,0.0,0.0,150361
development,materials_dielectric_to_jdft2d,materials_property,real_matbench_jdft2d,-0.71193,-5.2431,-1.44224,-1.631,1.0,1.0,5.0,0.6,0.2,1.0,163573
development,materials_expt_gap_to_mp_gap,materials_property,real_matbench_mp_gap,-2.44638,-24.4638,-10.6188,-10.6188,1.0,1.0,5.0,0.3,0.2,1.0,155181
frozen_extension,baumgartner_aniline_to_phenethylamine_alphos,reaction_optimization_cn,real_baumgartner_cn_phenethylamine_alphos,0.62862,0.0,0.8597,0.0,1.0,1.0,5.0,0.6,0.2,0.0,147129
frozen_extension,baumgartner_aniline_to_benzamide_tbuxphos,reaction_optimization_cn,real_baumgartner_cn_benzamide_tbuxphos,0.17809,0.0,0.4043,0.0,1.0,1.0,5.0,0.3,0.2,0.7,148444
frozen_extension,baumgartner_aniline_to_phenethylamine_tbubrettphos,reaction_optimization_cn,real_baumgartner_cn_phenethylamine_tbubrettphos,-0.98057,0.0,-11.34421,0.0,1.0,1.0,5.0,0.4,0.2,0.3,154661
frozen_extension,baumgartner_benzamide_tbubrettphos_to_alphos,reaction_optimization_cn,real_baumgartner_cn_benzamide_alphos,0.0,0.0,0.0,0.0,1.0,1.0,4.9,0.8,0.2,0.3,140981
frozen_extension,reizman_cases_123_to_case4,reaction_optimization_suzuki,real_reizman_suzuki_case_4,0.28,0.4,-4.85,-5.3,1.0,1.0,5.0,0.4,0.1,0.6,122808
