case_id,domain,evidence_tier,early_audit_auc_delta,frozen_repeat_auc_delta,second_frozen_repeat_auc_delta,early_sign,frozen_repeat_sign,exact_sign_agreement,strict_sign_flip,absolute_change
molecular_freesolv_to_esol,molecular_property,retrospective_development,0.0,0.0,,tie,tie,True,False,0.0
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,6.325,6.325,,positive,positive,True,False,0.0
materials_expt_gap_to_dielectric,materials_property,retrospective_development,6.74515,6.74515,,positive,positive,True,False,0.0
materials_phonons_to_bulk_modulus,materials_property,retrospective_development,1.13022,1.43505,,positive,positive,True,False,0.30483
materials_dielectric_to_jdft2d,materials_property,retrospective_development,-0.71193,-0.52431,,negative,negative,True,False,0.18762
materials_expt_gap_to_mp_gap,materials_property,retrospective_development,-2.44638,2.44638,,negative,positive,False,True,4.89276
baumgartner_aniline_to_phenethylamine_alphos,reaction_optimization_cn,post_freeze_extension,0.62862,-0.71009,,positive,negative,False,True,1.33871
baumgartner_aniline_to_benzamide_tbuxphos,reaction_optimization_cn,post_freeze_extension,0.17809,-0.17809,,positive,negative,False,True,0.35618
baumgartner_aniline_to_phenethylamine_tbubrettphos,reaction_optimization_cn,post_freeze_extension,-0.98057,2.36616,,negative,positive,False,True,3.34673
baumgartner_benzamide_tbubrettphos_to_alphos,reaction_optimization_cn,post_freeze_extension,0.0,0.0,,tie,tie,True,False,0.0
reizman_cases_123_to_case4,reaction_optimization_suzuki,post_freeze_extension,0.28,1.38,0.32,positive,positive,True,False,1.1
