source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94000,3,12,60.3652,57.911667,22.5342,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94000,3,12,51.4423,50.3984,31.4571,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94000,3,12,61.7597,56.884183,21.1397,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94000,3,12,47.2667,47.2667,35.6327,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94001,3,12,57.4518,55.6402,25.4476,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94001,3,12,54.5834,51.989892,28.316,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94001,3,12,59.0212,49.73045,23.8782,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94001,3,12,45.8124,45.8124,37.087,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94002,3,12,58.8698,56.1783,24.0296,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94002,3,12,57.3502,50.580133,25.5492,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94002,3,12,59.8035,55.8665,23.0959,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94002,3,12,43.6716,43.6716,39.2278,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94003,3,12,49.8246,49.8246,33.0748,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94003,3,12,50.0531,48.137467,32.8463,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94003,3,12,54.5397,51.678725,28.3597,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94003,3,12,39.3936,38.8713,43.5058,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94004,3,12,82.8994,66.912917,0.0,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94004,3,12,50.0531,49.904233,32.8463,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94004,3,12,55.494,54.966158,27.4054,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94004,3,12,49.1599,49.1599,33.7395,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94005,3,12,54.5397,54.5397,28.3597,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94005,3,12,57.3502,51.82855,25.5492,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94005,3,12,54.4837,53.567725,28.4157,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94005,3,12,49.1053,45.6473,33.7941,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94006,3,12,43.5958,40.956417,39.3036,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94006,3,12,50.0531,48.172517,32.8463,0,1,512
