source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94100,3,12,81.7276,61.711125,9.8758,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94100,3,12,66.2415,63.53615,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94100,3,12,41.86,39.182175,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94100,3,12,33.7773,33.7773,57.8261,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94101,3,12,87.0625,81.347592,4.5409,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94101,3,12,87.1479,71.781325,4.4555,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94101,3,12,91.0347,72.629725,0.5687,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94101,3,12,47.4349,47.4349,44.1685,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94102,3,12,81.7276,58.48395,9.8758,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94102,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94102,3,12,91.0347,84.08305,0.5687,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94102,3,12,41.5057,33.818117,50.0977,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94103,3,12,57.0325,49.92945,34.5709,0,1,512
