source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93000,3,12,93.074,92.540025,0.0,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93000,3,12,61.3382,59.094817,31.7358,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93000,3,12,93.074,85.569833,0.0,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93000,3,12,69.2573,63.91245,23.8167,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93001,3,12,91.0967,85.057417,1.9773,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93001,3,12,62.0592,62.0592,31.0148,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93001,3,12,66.3954,61.406858,26.6786,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93001,3,12,36.1449,36.028475,56.9291,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93002,3,12,93.074,91.920575,0.0,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93002,3,12,73.8554,67.43365,19.2186,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93002,3,12,91.0967,91.0967,1.9773,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93002,3,12,71.1022,65.507033,21.9718,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93003,3,12,91.0967,91.0967,1.9773,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93003,3,12,70.0706,70.0706,23.0034,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93003,3,12,91.0967,89.344525,1.9773,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93003,3,12,71.1022,70.8443,21.9718,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93004,3,12,77.046,77.046,16.028,0,2,1024
