case_id,domain,evidence_tier,decision_states,passing_states,changed_hidden_labels,all_states_pass
molecular_freesolv_to_esol,molecular_property,retrospective_development,10,10,11190,True
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,10,10,41765,True
materials_expt_gap_to_dielectric,materials_property,retrospective_development,10,10,47550,True
materials_phonons_to_bulk_modulus,materials_property,retrospective_development,10,10,109285,True
materials_dielectric_to_jdft2d,materials_property,retrospective_development,10,10,6276,True
materials_expt_gap_to_mp_gap,materials_property,retrospective_development,10,10,860039,True
baumgartner_aniline_to_phenethylamine_alphos,reaction_optimization_cn,post_freeze_extension,10,10,151,True
baumgartner_aniline_to_benzamide_tbuxphos,reaction_optimization_cn,post_freeze_extension,10,10,236,True
baumgartner_aniline_to_phenethylamine_tbubrettphos,reaction_optimization_cn,post_freeze_extension,10,10,259,True
baumgartner_benzamide_tbubrettphos_to_alphos,reaction_optimization_cn,post_freeze_extension,10,10,73,True
reizman_cases_123_to_case4,reaction_optimization_suzuki,post_freeze_extension,10,10,887,True
molecular_lipophilicity_to_freesolv,molecular_property,earlier_retrospective_development,10,10,6335,True
materials_bulk_to_shear_modulus,materials_property,earlier_retrospective_development,10,10,108619,True
materials_phonons_to_perovskites,materials_property,earlier_retrospective_development,10,10,187569,True
materials_expt_gap_to_steels,materials_property,earlier_retrospective_development,10,10,3034,True
molecular_freesolv_to_bace,molecular_property,earlier_retrospective_development,10,10,14987,True
materials_perovskites_to_mp_e_form,materials_property,earlier_retrospective_development,10,10,1327434,True
