case_id,domain,evidence_tier,model,decision_count,improvement_count,observed_improvement_rate,llm_mean_probability,gp_mean_probability,llm_brier_score,gp_brier_score,llm_minus_gp_brier,llm_expected_calibration_error,gp_expected_calibration_error,llm_roc_auc,gp_roc_auc,llm_minus_gp_roc_auc,mean_absolute_expected_outcome_error,override_count
molecular_freesolv_to_esol,molecular_property,retrospective_development,anthropic/claude-opus-4-8,10,1,0.1,0.193,0.23046250000000001,0.08252999999999999,0.0963719547817,-0.013841954781700014,0.093,0.1304625,0.9444444444444444,0.8888888888888888,0.05555555555555558,7.1313,3
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,anthropic/claude-opus-4-8,10,2,0.2,0.26149999999999995,0.1998211,0.16625129999999996,0.12406410320050001,0.04218719679949995,0.22750000000000004,0.11650009999999998,0.71875,0.9375,-0.21875,21.381690000000003,2
materials_expt_gap_to_dielectric,materials_property,retrospective_development,anthropic/claude-opus-4-8,10,1,0.1,0.12480000000000002,0.1191027,0.04397140000000001,0.041468813011099996,0.0025025869889000116,0.1348,0.1259401,1.0,1.0,0.0,9.966050000000001,4
materials_phonons_to_bulk_modulus,materials_property,retrospective_development,anthropic/claude-opus-4-8,10,1,0.1,0.22410000000000002,0.2193912,0.09444449999999999,0.10075584872580001,-0.006311348725800026,0.12410000000000002,0.1193912,0.8888888888888888,0.6666666666666666,0.2222222222222222,5.759829999999999,3
materials_dielectric_to_jdft2d,materials_property,retrospective_development,anthropic/claude-opus-4-8,10,2,0.2,0.31100000000000005,0.310385,0.18647000000000002,0.17853848352239998,0.007931516477600042,0.11100000000000004,0.11038500000000001,0.3125,0.375,-0.0625,6.678219999999999,6
materials_expt_gap_to_mp_gap,materials_property,retrospective_development,anthropic/claude-opus-4-8,10,1,0.1,0.1595,0.1577915,0.09945249999999997,0.09967754720649999,-0.00022504720650001753,0.09849999999999999,0.1031585,0.6111111111111112,0.6666666666666666,-0.05555555555555547,28.786129999999996,2
baumgartner_aniline_to_phenethylamine_alphos,reaction_optimization_cn,post_freeze_extension,anthropic/claude-opus-4-8,10,3,0.3,0.20600000000000002,0.134598,0.27766,0.26408683664840005,0.01357316335159997,0.26199999999999996,0.2606394,0.19047619047619047,0.23809523809523808,-0.047619047619047616,26.143489999999996,7
baumgartner_aniline_to_benzamide_tbuxphos,reaction_optimization_cn,post_freeze_extension,anthropic/claude-opus-4-8,10,2,0.2,0.17000000000000004,0.133474,0.14656,0.1280569038486,0.0185030961514,0.20599999999999996,0.18746000000000002,0.75,0.9375,-0.1875,8.83624,3
baumgartner_aniline_to_phenethylamine_tbubrettphos,reaction_optimization_cn,post_freeze_extension,anthropic/claude-opus-4-8,10,2,0.2,0.21000000000000002,0.18047010000000002,0.15546000000000001,0.14942561031929996,0.006034389680700053,0.08799999999999998,0.22291329999999998,0.625,0.875,-0.25,23.135039999999996,5
baumgartner_benzamide_tbubrettphos_to_alphos,reaction_optimization_cn,post_freeze_extension,anthropic/claude-opus-4-8,10,1,0.1,0.15500000000000003,0.1063215,0.09381000000000002,0.08014071614050002,0.013669283859500003,0.055,0.06025029999999999,0.6666666666666666,0.7777777777777778,-0.11111111111111116,26.03898,4
reizman_cases_123_to_case4,reaction_optimization_suzuki,post_freeze_extension,anthropic/claude-opus-4-8,10,2,0.2,0.29000000000000004,0.2843606,0.18431999999999998,0.19733492415180004,-0.013014924151800056,0.17999999999999997,0.1873528,0.625,0.4375,0.1875,14.180000000000003,7
molecular_lipophilicity_to_freesolv,molecular_property,earlier_retrospective_development,claude-opus-5,10,1,0.1,0.13,0.07438068242711715,0.06846,0.1012158996598355,-0.03275589965983551,0.132,0.025619317572882855,1.0,0.3333333333333333,0.6666666666666667,7.77241603012339,10
materials_bulk_to_shear_modulus,materials_property,earlier_retrospective_development,claude-opus-5,10,1,0.1,0.291,0.24880003047224702,0.11899000000000001,0.10829691504796184,0.010693084952038176,0.191,0.14880003047224707,0.8333333333333334,0.7777777777777778,0.05555555555555558,7.282179999999999,7
materials_phonons_to_perovskites,materials_property,earlier_retrospective_development,claude-opus-5,10,3,0.3,0.238,0.1152594874541355,0.20934000000000003,0.2693261586060267,-0.059986158606026685,0.10400000000000002,0.18474051254586452,0.5,0.38095238095238093,0.11904761904761907,6.884390000000002,1
materials_expt_gap_to_steels,materials_property,earlier_retrospective_development,claude-opus-5,10,1,0.1,0.21399999999999997,0.05015193566563394,0.08682000000000001,0.07330561730558174,0.013514382694418264,0.11400000000000002,0.04984806433436607,0.9444444444444444,1.0,-0.05555555555555558,8.61132,0
molecular_freesolv_to_bace,molecular_property,earlier_retrospective_development,claude-opus-5,10,2,0.2,0.333,0.22558751014347536,0.15153,0.14467683288703365,0.006853167112966352,0.28500000000000003,0.06528934211903323,0.90625,0.8125,0.09375,8.72609,0
materials_perovskites_to_mp_e_form,materials_property,earlier_retrospective_development,claude-opus-5,10,1,0.1,0.20500000000000002,0.2978266149964718,0.09033,0.12688580180717332,-0.03655580180717333,0.10499999999999998,0.19782661499647178,0.7777777777777778,0.6666666666666666,0.11111111111111116,5.1163500000000015,5
