case_id,domain,selected_threshold,mean_absolute_prediction_error,hard_abstention,gate_switched_to_target_gp,online_llm_auc,gated_auc,target_gp_auc,strongest_realized_baseline_auc,online_llm_minus_target_gp_auc,gated_minus_target_gp_auc,gated_minus_online_llm_auc,gated_minus_strongest_realized_baseline_auc,gated_final
molecular_freesolv_to_esol,molecular_property,30,6.242399999999994,False,False,91.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,91.0
molecular_freesolv_to_lipophilicity,molecular_property,5,19.7873,True,True,89.575,89.575,83.25,83.25,6.325,6.325,0.0,6.325,89.875
materials_expt_gap_to_dielectric,materials_property,5,17.193233333333335,False,True,59.5114,59.5114,52.76625,52.76625,6.74515,6.74515,0.0,6.74515,59.5114
materials_phonons_to_bulk_modulus,materials_property,5,9.817249999999994,True,True,72.37411,70.93906,70.93906,72.25759,1.43505,0.0,-1.43505,-1.31853,73.2886
materials_dielectric_to_jdft2d,materials_property,5,2.0098666666666674,False,False,94.8703,94.8703,95.39461,95.39461,-0.52431,-0.52431,0.0,-0.52431,96.6304
materials_expt_gap_to_mp_gap,materials_property,5,33.10416666666667,False,True,80.42896,85.32172,77.98258,94.12525,2.44638,7.33914,4.89276,-8.80353,100.0
baumgartner_aniline_to_phenethylamine_alphos,reaction_optimization_cn,5,11.309366666666662,True,True,96.92958,97.63967,97.63967,97.63967,-0.71009,0.0,0.71009,0.0,98.5826
baumgartner_aniline_to_benzamide_tbuxphos,reaction_optimization_cn,5,8.679733333333333,True,True,25.36333,25.36333,25.54142,25.54142,-0.17809,-0.17809,0.0,-0.17809,25.8976
baumgartner_aniline_to_phenethylamine_tbubrettphos,reaction_optimization_cn,30,9.730333333333334,False,False,91.93212,91.93212,89.56596,95.11457,2.36616,2.36616,0.0,-3.18245,99.9296
baumgartner_benzamide_tbubrettphos_to_alphos,reaction_optimization_cn,5,31.461850000000002,True,True,67.28657,67.28657,67.28657,67.3272,0.0,0.0,0.0,-0.04063,67.3272
reizman_cases_123_to_case4,reaction_optimization_suzuki,5,16.833333333333336,False,True,95.48,94.42,94.1,96.38,1.38,0.32,-1.06,-1.96,94.5
