policy_id,kind,gate_round,threshold,hard_abstention,force_fallback,parameter_count,training_mean_auc_delta,training_worst_route_auc_delta,training_wins,training_ties,training_losses,training_switch_count,evaluation_mean_auc_delta,evaluation_worst_route_auc_delta,evaluation_wins,evaluation_ties,evaluation_losses,evaluation_switch_count
bounded_authority_r1,bounded_authority,1,,False,True,1,1.188195,0.0,2,9,0,11,0.612371,-1.32647,2,3,1,6
prediction_error_r1_t0_hard0,prediction_error_gate,1,0.0,False,False,3,1.188195,0.0,2,9,0,11,0.612371,-1.32647,2,3,1,6
prediction_error_r1_t0_hard1,prediction_error_gate,1,0.0,True,False,3,1.188195,0.0,2,9,0,11,0.612371,-1.32647,2,3,1,6
prediction_error_r1_t2.5_hard0,prediction_error_gate,1,2.5,False,False,3,1.27099,-0.52431,3,7,1,9,0.612371,-1.32647,2,3,1,6
prediction_error_r1_t2.5_hard1,prediction_error_gate,1,2.5,True,False,3,1.140531,-0.52431,2,8,1,10,0.612371,-1.32647,2,3,1,6
prediction_error_r1_t5_hard0,prediction_error_gate,1,5.0,False,False,3,1.61155,-0.52431,5,5,1,7,0.612371,-1.32647,2,3,1,5
prediction_error_r1_t5_hard1,prediction_error_gate,1,5.0,True,False,3,1.481091,-0.52431,4,6,1,8,0.612371,-1.32647,2,3,1,6
prediction_error_r1_t7.5_hard0,prediction_error_gate,1,7.5,False,False,3,1.546996,-0.71009,5,4,2,6,0.329255,-1.32647,2,3,1,4
prediction_error_r1_t7.5_hard1,prediction_error_gate,1,7.5,True,False,3,1.481091,-0.52431,4,6,1,8,0.612371,-1.32647,2,3,1,6
prediction_error_r1_t10_hard0,prediction_error_gate,1,10.0,False,False,3,1.530806,-0.71009,5,3,3,5,-1.062337,-5.67214,1,3,2,2
prediction_error_r1_t10_hard1,prediction_error_gate,1,10.0,True,False,3,1.464901,-0.52431,4,5,2,7,0.612371,-1.32647,2,3,1,6
prediction_error_r1_t15_hard0,prediction_error_gate,1,15.0,False,False,3,1.753205,-0.71009,6,2,3,3,-1.062337,-5.67214,1,3,2,1
prediction_error_r1_t15_hard1,prediction_error_gate,1,15.0,True,False,3,1.687299,-0.52431,5,4,2,5,0.612371,-1.32647,2,3,1,6
prediction_error_r1_t20_hard0,prediction_error_gate,1,20.0,False,False,3,1.753205,-0.71009,6,2,3,3,-1.055769,-5.67214,2,2,2,0
prediction_error_r1_t20_hard1,prediction_error_gate,1,20.0,True,False,3,1.687299,-0.52431,5,4,2,5,0.618939,-1.32647,3,2,1,5
prediction_error_r1_t30_hard0,prediction_error_gate,1,30.0,False,False,3,1.753205,-0.71009,6,2,3,2,-1.055769,-5.67214,2,2,2,0
prediction_error_r1_t30_hard1,prediction_error_gate,1,30.0,True,False,3,1.687299,-0.52431,5,4,2,4,0.618939,-1.32647,3,2,1,5
prediction_error_r1_t40_hard0,prediction_error_gate,1,40.0,False,False,3,1.753205,-0.71009,6,2,3,1,-1.055769,-5.67214,2,2,2,0
prediction_error_r1_t40_hard1,prediction_error_gate,1,40.0,True,False,3,1.687299,-0.52431,5,4,2,3,0.618939,-1.32647,3,2,1,5
prediction_error_r1_t60_hard0,prediction_error_gate,1,60.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r1_t60_hard1,prediction_error_gate,1,60.0,True,False,3,1.687299,-0.52431,5,4,2,3,0.618939,-1.32647,3,2,1,5
prediction_error_r1_t9999_hard0,prediction_error_gate,1,9999.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r1_t9999_hard1,prediction_error_gate,1,9999.0,True,False,3,1.687299,-0.52431,5,4,2,3,0.618939,-1.32647,3,2,1,5
bounded_authority_r2,bounded_authority,2,,False,True,1,1.188195,0.0,2,9,0,11,0.716791,-1.12414,2,3,1,6
prediction_error_r2_t0_hard0,prediction_error_gate,2,0.0,False,False,3,1.188195,0.0,2,9,0,11,0.716791,-1.12414,2,3,1,6
prediction_error_r2_t0_hard1,prediction_error_gate,2,0.0,True,False,3,1.188195,0.0,2,9,0,11,0.716791,-1.12414,2,3,1,6
prediction_error_r2_t2.5_hard0,prediction_error_gate,2,2.5,False,False,3,1.355636,-0.52431,3,7,1,9,0.716791,-1.12414,2,3,1,6
prediction_error_r2_t2.5_hard1,prediction_error_gate,2,2.5,True,False,3,1.355636,-0.52431,3,7,1,9,0.716791,-1.12414,2,3,1,6
prediction_error_r2_t5_hard0,prediction_error_gate,2,5.0,False,False,3,1.355636,-0.52431,3,7,1,9,0.362976,-1.12414,2,3,1,5
prediction_error_r2_t5_hard1,prediction_error_gate,2,5.0,True,False,3,1.355636,-0.52431,3,7,1,9,0.716791,-1.12414,2,3,1,6
prediction_error_r2_t7.5_hard0,prediction_error_gate,2,7.5,False,False,3,1.355636,-0.52431,3,7,1,8,0.362976,-1.12414,2,3,1,2
prediction_error_r2_t7.5_hard1,prediction_error_gate,2,7.5,True,False,3,1.355636,-0.52431,3,7,1,8,0.716791,-1.12414,2,3,1,6
prediction_error_r2_t10_hard0,prediction_error_gate,2,10.0,False,False,3,1.421542,-0.71009,4,5,2,6,-1.055769,-5.67214,2,2,2,0
prediction_error_r2_t10_hard1,prediction_error_gate,2,10.0,True,False,3,1.355636,-0.52431,3,7,1,8,0.72336,-1.12414,3,2,1,5
prediction_error_r2_t15_hard0,prediction_error_gate,2,15.0,False,False,3,1.405352,-0.71009,4,4,3,5,-1.055769,-5.67214,2,2,2,0
prediction_error_r2_t15_hard1,prediction_error_gate,2,15.0,True,False,3,1.355636,-0.52431,3,7,1,8,0.72336,-1.12414,3,2,1,5
prediction_error_r2_t20_hard0,prediction_error_gate,2,20.0,False,False,3,1.405352,-0.71009,4,4,3,5,-1.055769,-5.67214,2,2,2,0
prediction_error_r2_t20_hard1,prediction_error_gate,2,20.0,True,False,3,1.355636,-0.52431,3,7,1,8,0.72336,-1.12414,3,2,1,5
prediction_error_r2_t30_hard0,prediction_error_gate,2,30.0,False,False,3,1.530806,-0.71009,5,3,3,2,-1.055769,-5.67214,2,2,2,0
prediction_error_r2_t30_hard1,prediction_error_gate,2,30.0,True,False,3,1.481091,-0.52431,4,6,1,5,0.72336,-1.12414,3,2,1,5
prediction_error_r2_t40_hard0,prediction_error_gate,2,40.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r2_t40_hard1,prediction_error_gate,2,40.0,True,False,3,1.703489,-0.52431,5,5,1,4,0.72336,-1.12414,3,2,1,5
prediction_error_r2_t60_hard0,prediction_error_gate,2,60.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r2_t60_hard1,prediction_error_gate,2,60.0,True,False,3,1.703489,-0.52431,5,5,1,4,0.72336,-1.12414,3,2,1,5
prediction_error_r2_t9999_hard0,prediction_error_gate,2,9999.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r2_t9999_hard1,prediction_error_gate,2,9999.0,True,False,3,1.703489,-0.52431,5,5,1,4,0.72336,-1.12414,3,2,1,5
bounded_authority_r3,bounded_authority,3,,False,True,1,2.134615,-0.52431,6,3,2,11,-1.967696,-12.83401,2,2,2,6
