round,llm_candidate,llm_composition,llm_revealed_value,llm_best_so_far,llm_gp_rank_at_selection,llm_overrode_gp_rank_one,gp_candidate,gp_composition,gp_revealed_value,gp_best_so_far
1,real_matbench_log_kvrh_05397,Ce1O1,70.0124,70.2403,1,False,real_matbench_log_kvrh_05397,,70.0124,70.2403
2,real_matbench_log_kvrh_02292,O2Sn2,50.1717,70.2403,1,False,real_matbench_log_kvrh_02292,,50.1717,70.2403
3,real_matbench_log_kvrh_10601,O2Sm1Tl1,62.883,70.2403,2,True,real_matbench_log_kvrh_04417,,60.4304,70.2403
4,real_matbench_log_kvrh_02633,P1Tb1,64.6506,70.2403,1,False,real_matbench_log_kvrh_10115,,64.314,70.2403
5,real_matbench_log_kvrh_10514,Lu2O3,73.2886,73.2886,2,True,real_matbench_log_kvrh_02633,,64.6506,70.2403
6,real_matbench_log_kvrh_10115,O2Sm4,64.314,73.2886,1,False,real_matbench_log_kvrh_05508,,65.1414,70.2403
7,real_matbench_log_kvrh_05183,Lu4S6,62.883,73.2886,1,False,real_matbench_log_kvrh_10918,,70.6858,70.6858
8,real_matbench_log_kvrh_08758,La2O3,68.8153,73.2886,4,True,real_matbench_log_kvrh_04674,,50.1717,70.6858
9,real_matbench_log_kvrh_03692,Tl1Yb1,50.6171,73.2886,1,False,real_matbench_log_kvrh_10514,,73.2886,73.2886
10,real_matbench_log_kvrh_01950,Cl4Yb2,51.8768,73.2886,2,True,real_matbench_log_kvrh_03692,,50.6171,73.2886
