source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99600,3,12,0.169933,0.166311,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99600,3,12,0.156367,0.154325,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99600,3,12,0.169933,0.166311,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99600,3,12,0.169933,0.156944,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99600,3,12,0.160333,0.158074,0.0513,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99601,3,12,0.169933,0.153289,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99601,3,12,0.156367,0.141819,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99601,3,12,0.169933,0.146662,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99601,3,12,0.169933,0.157299,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99601,3,12,0.157933,0.157281,0.0537,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99602,3,12,0.1576,0.156675,0.054033,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99602,3,12,0.1576,0.155086,0.054033,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99602,3,12,0.1576,0.155292,0.054033,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99602,3,12,0.163917,0.161801,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99602,3,12,0.160333,0.160003,0.0513,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99603,3,12,0.169933,0.169933,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99603,3,12,0.1662,0.160917,0.045433,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99603,3,12,0.1662,0.162678,0.045433,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99603,3,12,0.163917,0.159204,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99603,3,12,0.157933,0.157933,0.0537,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99604,3,12,0.169933,0.169933,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99604,3,12,0.156367,0.153187,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99604,3,12,0.169933,0.169933,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99604,3,12,0.163917,0.157161,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99604,3,12,0.156367,0.156367,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99605,3,12,0.15405,0.153811,0.057583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99605,3,12,0.15405,0.153811,0.057583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99605,3,12,0.15405,0.153811,0.057583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99605,3,12,0.163917,0.162033,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99605,3,12,0.16165,0.159392,0.049983,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99606,3,12,0.156367,0.124267,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99606,3,12,0.156367,0.124543,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99606,3,12,0.169933,0.132876,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99606,3,12,0.163917,0.146792,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99606,3,12,0.16165,0.161431,0.049983,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99607,3,12,0.15105,0.147194,0.060583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99607,3,12,0.15405,0.147539,0.057583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99607,3,12,0.15405,0.147539,0.057583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99607,3,12,0.174683,0.161144,0.03695,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99607,3,12,0.160333,0.160333,0.0513,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99608,3,12,0.169933,0.158918,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99608,3,12,0.15105,0.15105,0.060583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99608,3,12,0.169933,0.165212,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99608,3,12,0.15105,0.15105,0.060583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99608,3,12,0.160333,0.160333,0.0513,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99609,3,12,0.169933,0.158294,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99609,3,12,0.169933,0.165703,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99609,3,12,0.169933,0.165703,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99609,3,12,0.169933,0.155825,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99609,3,12,0.16165,0.160662,0.049983,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99610,3,12,0.176983,0.157861,0.03465,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99610,3,12,0.15405,0.151779,0.057583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99610,3,12,0.176983,0.155147,0.03465,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99610,3,12,0.163917,0.161364,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99610,3,12,0.157933,0.155333,0.0537,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99611,3,12,0.169933,0.169867,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99611,3,12,0.169933,0.1698,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99611,3,12,0.169933,0.1698,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99611,3,12,0.169933,0.169333,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99611,3,12,0.169133,0.169133,0.0425,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99612,3,12,0.169933,0.16569,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99612,3,12,0.169933,0.167387,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99612,3,12,0.169933,0.167387,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99612,3,12,0.163917,0.163222,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99612,3,12,0.15975,0.15975,0.051883,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99613,3,12,0.169933,0.16585,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99613,3,12,0.169933,0.167211,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99613,3,12,0.169933,0.167211,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99613,3,12,0.174683,0.168515,0.03695,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99613,3,12,0.160333,0.160003,0.0513,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99614,3,12,0.169933,0.14621,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99614,3,12,0.169933,0.148214,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99614,3,12,0.1662,0.151889,0.045433,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99614,3,12,0.163917,0.158993,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99614,3,12,0.160333,0.160333,0.0513,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99615,3,12,0.156367,0.151633,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99615,3,12,0.15405,0.150011,0.057583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99615,3,12,0.147383,0.147383,0.06425,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99615,3,12,0.1568,0.153168,0.054833,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99615,3,12,0.16165,0.158036,0.049983,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99616,3,12,0.169933,0.161131,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99616,3,12,0.169933,0.153126,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99616,3,12,0.169933,0.150865,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99616,3,12,0.169933,0.155133,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99616,3,12,0.16165,0.158506,0.049983,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99617,3,12,0.157683,0.157683,0.05395,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99617,3,12,0.157683,0.157683,0.05395,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99617,3,12,0.157683,0.157683,0.05395,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99617,3,12,0.157683,0.157683,0.05395,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99617,3,12,0.166783,0.164742,0.04485,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99618,3,12,0.169933,0.152017,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99618,3,12,0.169933,0.151853,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99618,3,12,0.169933,0.150972,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99618,3,12,0.163917,0.157144,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99618,3,12,0.157933,0.157019,0.0537,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99619,3,12,0.156367,0.155083,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99619,3,12,0.169933,0.158261,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99619,3,12,0.169933,0.164556,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99619,3,12,0.169933,0.164396,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99619,3,12,0.169933,0.165133,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99620,3,12,0.156367,0.155233,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99620,3,12,0.156367,0.155233,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99620,3,12,0.156367,0.154654,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99620,3,12,0.169933,0.163596,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99620,3,12,0.157933,0.156714,0.0537,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99621,3,12,0.169933,0.167478,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99621,3,12,0.169933,0.167575,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99621,3,12,0.169933,0.167575,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99621,3,12,0.169933,0.163743,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99621,3,12,0.169933,0.166647,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99622,3,12,0.1576,0.148319,0.054033,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99622,3,12,0.169933,0.156644,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99622,3,12,0.15405,0.148471,0.057583,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99622,3,12,0.169933,0.15054,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99622,3,12,0.16165,0.158144,0.049983,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99623,3,12,0.169933,0.160853,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99623,3,12,0.169933,0.153157,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99623,3,12,0.156367,0.152026,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99623,3,12,0.163917,0.160361,0.047717,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99623,3,12,0.160333,0.160003,0.0513,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99624,3,12,0.156367,0.152433,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99624,3,12,0.156367,0.151307,0.055267,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_icm_bma,99624,3,12,0.152617,0.150057,0.059017,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_skill_prior,99624,3,12,0.169933,0.138037,0.0417,1,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,source_additive_mutation_prior,99624,3,12,0.16165,0.157893,0.049983,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,target_gp_ucb,99625,3,12,0.147383,0.145068,0.06425,0,1,3218
real_flip2_amylase_train_validation,real_flip2_amylase_test,multisource_rgpe,99625,3,12,0.169933,0.161044,0.0417,1,1,3218
