source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_ired_train_validation,real_flip2_ired_test,target_gp_ucb,97200,3,12,0.70832,-0.243457,2.297371,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_rgpe,97200,3,12,0.512645,-0.034919,2.493045,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_icm_bma,97200,3,12,0.512645,-0.416791,2.493045,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_skill_prior,97200,3,12,1.827456,1.534101,1.178235,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,source_additive_mutation_prior,97200,3,12,1.355196,0.462957,1.650495,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,target_gp_ucb,97201,3,12,0.584893,0.570526,2.420797,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_rgpe,97201,3,12,1.41782,1.346972,1.587871,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_icm_bma,97201,3,12,0.567652,0.567652,2.438038,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_skill_prior,97201,3,12,0.567652,0.567652,2.438038,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,source_additive_mutation_prior,97201,3,12,1.14582,0.760375,1.859871,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,target_gp_ucb,97202,3,12,0.319015,-0.346795,2.686675,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_rgpe,97202,3,12,0.512645,-0.305509,2.493045,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_icm_bma,97202,3,12,0.489198,0.270603,2.516492,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_skill_prior,97202,3,12,-0.564478,-0.693426,3.570168,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,source_additive_mutation_prior,97202,3,12,0.822773,0.716917,2.182918,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,target_gp_ucb,97203,3,12,0.507514,0.174333,2.498177,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_rgpe,97203,3,12,0.512645,-0.157994,2.493045,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_icm_bma,97203,3,12,-0.292122,-0.292122,3.297812,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_skill_prior,97203,3,12,1.827456,1.184027,1.178235,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,source_additive_mutation_prior,97203,3,12,0.822773,0.341881,2.182918,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,target_gp_ucb,97204,3,12,1.408298,1.408298,1.597392,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_rgpe,97204,3,12,1.408298,1.408298,1.597392,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_icm_bma,97204,3,12,1.408298,1.408298,1.597392,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_skill_prior,97204,3,12,1.408298,1.408298,1.597392,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,source_additive_mutation_prior,97204,3,12,1.408298,1.408298,1.597392,0,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,target_gp_ucb,97205,3,12,3.005691,0.765205,0.0,1,1,3500
real_flip2_ired_train_validation,real_flip2_ired_test,multisource_rgpe,97205,3,12,1.41782,0.093336,1.587871,0,1,3500
