condition,permutation_seed,auc_mean_delta,auc_ci95_low,auc_ci95_high,final_mean_delta,final_ci95_low,final_ci95_high,top10_mean_delta,top10_ci95_low,top10_ci95_high,wins,ties,losses
permuted_source_outcomes_98100,98100,0.01573179617187147,-0.11852816365905476,0.1499917560027977,-0.24618938634077736,-0.5073492950162102,0.0149705223346554,-0.16,-0.23221677803878427,-0.08778322196121575,45,14,41
permuted_source_outcomes_98101,98101,0.18243098410724864,0.07878840564765936,0.2860735625668379,-0.04790389410120054,-0.2836585084066162,0.18785072020421514,-0.08,-0.16667446118795448,0.006674461187954464,61,12,27
permuted_source_outcomes_98102,98102,0.18773116031065437,0.0760544892051344,0.29940783141617433,0.08640365942901053,-0.18061296131152,0.353420280169541,-0.03,-0.12007732705006766,0.06007732705006766,66,13,21
permuted_source_outcomes_98103,98103,-0.07562053751117259,-0.18685894988725643,0.03561787486491125,-0.3982141151576644,-0.644709311423042,-0.1517189188922869,-0.15,-0.22565445102302942,-0.07434554897697057,45,14,41
permuted_source_outcomes_98104,98104,-0.18757842903323133,-0.2902017484490817,-0.08495510961738095,-0.380260464204519,-0.6316744481160548,-0.12884648029298318,-0.16,-0.23221677803878427,-0.08778322196121575,32,17,51
permuted_source_outcomes_98105,98105,-0.1167174173211522,-0.2206047990951181,-0.0128300355471863,-0.5153505887101771,-0.7588619968418593,-0.27183918057849504,-0.16,-0.23221677803878427,-0.08778322196121575,37,14,49
permuted_source_outcomes_98106,98106,0.03154973273051701,-0.08133982905983272,0.14443929452086673,-0.18922709807443444,-0.41791376262305546,0.03945956647418655,-0.16,-0.23221677803878427,-0.08778322196121575,53,12,35
permuted_source_outcomes_98107,98107,-0.13875445568003086,-0.24564054273692765,-0.03186836862313408,-0.6259477478829132,-0.8686931616495126,-0.3832023341163137,-0.16,-0.23221677803878427,-0.08778322196121575,33,16,51
permuted_source_outcomes_98108,98108,-0.12270724944148947,-0.2284880736595537,-0.01692642522342526,-0.49295427399643166,-0.7204277134084105,-0.26548083458445276,-0.16,-0.23221677803878427,-0.08778322196121575,36,18,46
permuted_source_outcomes_98109,98109,-0.006457692275279085,-0.14092923514381656,0.12801385059325837,-0.41126998982555674,-0.6766999445971993,-0.14584003505391424,-0.07,-0.16346009573582457,0.023460095735824554,38,16,46
permuted_source_outcomes_98110,98110,0.321573324896085,0.15692885270918078,0.4862177970829892,0.4727183512156929,0.1667501283447651,0.7786865740866207,0.16,0.042730430549132184,0.27726956945086784,58,10,32
permuted_source_outcomes_98111,98111,-0.31916901664827035,-0.41802937223472014,-0.22030866106182057,-0.5957626798014537,-0.8542152388012747,-0.33731012080163264,-0.16,-0.23221677803878427,-0.08778322196121575,18,17,65
permuted_source_outcomes_98112,98112,0.07339605380872881,-0.030046749765679656,0.17683885738313726,-0.3317054674266824,-0.5525817257594697,-0.11082920909389504,-0.16,-0.23221677803878427,-0.08778322196121575,55,14,31
permuted_source_outcomes_98113,98113,0.13231370806092035,-0.0036140964977925127,0.26824151261963325,-0.053207940908226,-0.33483901709800873,0.22842313528155672,-0.16,-0.23221677803878427,-0.08778322196121575,56,11,33
permuted_source_outcomes_98114,98114,-0.010289321875977135,-0.13548435478229207,0.11490571103033778,-0.4247652049401662,-0.6777163287471859,-0.17181408113314645,-0.16,-0.23221677803878427,-0.08778322196121575,48,12,40
permuted_source_outcomes_98115,98115,0.19882005724636692,0.08665073715779112,0.3109893773349427,0.04060956180879091,-0.20673402379504768,0.2879531474126295,-0.04,-0.12774235930359756,0.04774235930359757,67,10,23
permuted_source_outcomes_98116,98116,0.0935775488916042,-0.01624011836794323,0.20339521615115164,-0.1660629884324872,-0.39923560442358985,0.06710962755861544,-0.16,-0.23221677803878427,-0.08778322196121575,54,10,36
