series,round,seed_count,mean_best_so_far,bootstrap_ci95_low,bootstrap_ci95_high
Target-only GP-UCB,1,100,-0.3025588517355054,-0.46467234416512,-0.127837663591332
Outcome-permuted skills,1,100,-0.29512822859209725,-0.45203433340623267,-0.1269912069794598
"LLM skill, true assignment",1,100,-0.17376028248128816,-0.33839765099682967,0.0009138532303708136
Target-only GP-UCB,2,100,-0.23580463420646944,-0.39354983955191253,-0.0692543338999989
Outcome-permuted skills,2,100,-0.18509626114480537,-0.3249615005511899,-0.02914115431561498
"LLM skill, true assignment",2,100,-0.07151360612156107,-0.22350393192327708,0.09102653397581681
Target-only GP-UCB,3,100,-0.2008089672182276,-0.3499012818070008,-0.03760777460696781
Outcome-permuted skills,3,100,-0.08680020512453421,-0.2175806601274809,0.05490380703807897
"LLM skill, true assignment",3,100,0.1128393911229293,-0.03543352854333758,0.27046379929382813
Target-only GP-UCB,4,100,-0.14424306693680852,-0.297340974435985,0.017519579311562287
Outcome-permuted skills,4,100,0.007127353159168896,-0.11381304632904404,0.1419468820297597
"LLM skill, true assignment",4,100,0.27242979260235,0.1305937257718861,0.41982453350775306
Target-only GP-UCB,5,100,-0.12233614716027393,-0.2729473188324533,0.043639613897969665
Outcome-permuted skills,5,100,0.09608518279768406,-0.017380756863673682,0.22435063086804433
"LLM skill, true assignment",5,100,0.4026068164186755,0.2613951105192965,0.5466410839074007
Target-only GP-UCB,6,100,-0.04856450569397152,-0.2033905835607069,0.11871671531390264
Outcome-permuted skills,6,100,0.18173492604790537,0.0764272717762464,0.3025692273526547
"LLM skill, true assignment",6,100,0.6064111159999943,0.47365484478591247,0.7448778519527423
Target-only GP-UCB,7,100,0.0821492775616892,-0.09190439709469748,0.27209796691671934
Outcome-permuted skills,7,100,0.258248912776562,0.16003115530494938,0.3738914359013185
"LLM skill, true assignment",7,100,0.7579045738644274,0.6254085981739895,0.8911810064491991
Target-only GP-UCB,8,100,0.2876367265673473,0.08928337632118626,0.502123137679244
Outcome-permuted skills,8,100,0.32222601287260594,0.22749645985667397,0.4319522428040936
"LLM skill, true assignment",8,100,0.8148896695710836,0.6891474817970153,0.9448869426350417
Target-only GP-UCB,9,100,0.43280028972423495,0.21536187613462915,0.6618534108498452
Outcome-permuted skills,9,100,0.3877686891186677,0.2973579674906086,0.49501634698008634
"LLM skill, true assignment",9,100,0.8528420578956427,0.7237490621266193,0.9852446024819695
Target-only GP-UCB,10,100,0.5130282752619931,0.29171605363224135,0.7406593225926082
Outcome-permuted skills,10,100,0.4462612593492929,0.3584985299939182,0.5477446318709548
"LLM skill, true assignment",10,100,0.876088827119036,0.7489776927227817,1.0061965751703674
Target-only GP-UCB,11,100,0.5804797641933531,0.3558623128015108,0.8217103746369651
Outcome-permuted skills,11,100,0.5081771511035673,0.42433297107588547,0.6085154393365885
"LLM skill, true assignment",11,100,0.8984323777712112,0.7720079561148625,1.0275144569309187
Target-only GP-UCB,12,100,0.7727225318254592,0.5441023094328399,1.0101892393001999
Outcome-permuted skills,12,100,0.5668641622960316,0.48541767542445424,0.6637812338541466
"LLM skill, true assignment",12,100,0.9348587007520883,0.8115998830950947,1.0613324277147898
