source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95200,3,12,79.6667,75.611133,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95200,3,12,71.6667,71.6667,8.0,0,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95200,3,12,79.6667,76.8889,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95200,3,12,79.6667,74.2778,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95201,3,12,79.3333,78.555533,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95201,3,12,76.3333,76.3333,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95201,3,12,79.3333,77.0833,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95201,3,12,79.3333,77.333308,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95202,3,12,79.3333,77.388867,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95202,3,12,79.0,72.083325,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95202,3,12,79.3333,76.138858,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95202,3,12,79.3333,76.888858,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95203,3,12,79.6667,78.861133,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95203,3,12,76.3333,76.3333,3.3334,1,2,372
