source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99200,3,12,0.062737,0.062737,1.756003,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99200,3,12,0.062737,0.062737,1.756003,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99200,3,12,0.062737,0.062737,1.756003,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99200,3,12,0.062737,0.062737,1.756003,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99200,3,12,0.808319,0.808319,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99201,3,12,0.39944,0.223358,1.4193,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99201,3,12,0.080498,0.05835,1.738242,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99201,3,12,0.047276,0.047276,1.771464,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99201,3,12,0.299141,0.068265,1.519599,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99201,3,12,1.040007,0.904856,0.778733,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99202,3,12,0.439653,0.439653,1.379087,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99202,3,12,0.439653,0.439653,1.379087,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99202,3,12,0.439653,0.439653,1.379087,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99202,3,12,0.439653,0.439653,1.379087,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99202,3,12,0.439653,0.439653,1.379087,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99203,3,12,0.104241,0.104241,1.714499,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99203,3,12,0.104241,0.104241,1.714499,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99203,3,12,0.104241,0.104241,1.714499,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99203,3,12,0.219329,0.133013,1.599411,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99203,3,12,1.362119,1.362119,0.456621,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99204,3,12,0.14186,0.119851,1.67688,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99204,3,12,0.179841,0.168792,1.638899,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99204,3,12,0.082402,0.056207,1.736338,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99204,3,12,0.14186,0.127187,1.67688,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99204,3,12,1.362119,1.362119,0.456621,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99205,3,12,0.808319,0.492201,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99205,3,12,0.049636,0.049636,1.769104,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99205,3,12,0.049636,0.049636,1.769104,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99205,3,12,0.219329,0.154771,1.599411,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99205,3,12,1.362119,1.362119,0.456621,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99206,3,12,0.219329,0.141682,1.599411,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99206,3,12,0.178527,0.168986,1.640213,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99206,3,12,0.299141,0.103218,1.519599,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99206,3,12,0.219329,0.186017,1.599411,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99206,3,12,1.362119,1.362119,0.456621,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99207,3,12,0.299141,0.224264,1.519599,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99207,3,12,0.074509,0.074509,1.744231,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99207,3,12,0.074509,0.074509,1.744231,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99207,3,12,0.39944,0.209897,1.4193,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99207,3,12,1.81874,1.468176,0.0,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99208,3,12,0.042304,0.029885,1.776436,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99208,3,12,0.178527,0.165401,1.640213,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99208,3,12,0.024553,0.024258,1.794187,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99208,3,12,0.39944,0.198141,1.4193,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99208,3,12,1.040007,0.94347,0.778733,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99209,3,12,0.061501,0.053938,1.757239,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99209,3,12,0.080498,0.052708,1.738242,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99209,3,12,0.038813,0.038813,1.779926,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99209,3,12,0.808319,0.808319,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99209,3,12,1.81874,1.780688,0.0,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99210,3,12,0.099118,0.099118,1.719622,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99210,3,12,0.808319,0.631019,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99210,3,12,0.099118,0.099118,1.719622,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99210,3,12,0.178527,0.147465,1.640213,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99210,3,12,0.808319,0.808319,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99211,3,12,0.299141,0.150208,1.519599,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99211,3,12,0.059377,0.059377,1.759363,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99211,3,12,0.059377,0.059377,1.759363,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99211,3,12,0.14186,0.14186,1.67688,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99211,3,12,1.040007,0.916229,0.778733,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99212,3,12,0.042304,0.025522,1.776436,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99212,3,12,0.041311,0.025087,1.777428,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99212,3,12,0.029199,0.022461,1.789541,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99212,3,12,0.808319,0.808319,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99212,3,12,1.81874,1.397731,0.0,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99213,3,12,0.870798,0.870798,0.947942,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99213,3,12,0.870798,0.870798,0.947942,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99213,3,12,0.870798,0.870798,0.947942,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99213,3,12,0.870798,0.870798,0.947942,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99213,3,12,1.362119,1.362119,0.456621,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99214,3,12,0.219329,0.163332,1.599411,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99214,3,12,0.439653,0.083697,1.379087,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99214,3,12,0.051337,0.051337,1.767402,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99214,3,12,0.219329,0.193506,1.599411,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99214,3,12,0.808319,0.750652,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99215,3,12,0.219329,0.067841,1.599411,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99215,3,12,0.054069,0.054069,1.764671,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99215,3,12,0.054069,0.054069,1.764671,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99215,3,12,0.219329,0.150471,1.599411,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99215,3,12,1.81874,1.650336,0.0,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99216,3,12,0.054352,0.052837,1.764388,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99216,3,12,0.080498,0.073052,1.738242,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99216,3,12,0.054352,0.05314,1.764388,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99216,3,12,0.299141,0.112822,1.519599,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99216,3,12,1.362119,1.362119,0.456621,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99217,3,12,0.054335,0.054335,1.764405,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99217,3,12,0.178527,0.178527,1.640213,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99217,3,12,0.054335,0.054335,1.764405,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99217,3,12,0.299141,0.177931,1.519599,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99217,3,12,1.362119,1.362119,0.456621,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99218,3,12,0.061501,0.054752,1.757239,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99218,3,12,0.039531,0.037437,1.779209,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99218,3,12,0.034506,0.034506,1.784234,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99218,3,12,0.14186,0.14186,1.67688,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99218,3,12,1.81874,1.566135,0.0,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99219,3,12,0.084202,0.084202,1.734538,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99219,3,12,0.084202,0.084202,1.734538,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99219,3,12,0.084202,0.084202,1.734538,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99219,3,12,0.808319,0.808319,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99219,3,12,1.81874,1.397731,0.0,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99220,3,12,0.39944,0.234381,1.4193,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99220,3,12,0.179361,0.179361,1.639379,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99220,3,12,0.179361,0.179361,1.639379,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99220,3,12,0.179361,0.179361,1.639379,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99220,3,12,0.808319,0.764416,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99221,3,12,0.185921,0.185921,1.632819,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99221,3,12,0.185921,0.185921,1.632819,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99221,3,12,0.185921,0.185921,1.632819,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99221,3,12,0.299141,0.214226,1.519599,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99221,3,12,0.808319,0.808319,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99222,3,12,0.043968,0.043968,1.774772,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99222,3,12,0.043968,0.043968,1.774772,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99222,3,12,0.080498,0.068321,1.738242,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99222,3,12,0.072102,0.062925,1.746638,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99222,3,12,1.362119,1.362119,0.456621,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99223,3,12,0.073217,0.073217,1.745523,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99223,3,12,0.178527,0.169751,1.640213,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99223,3,12,0.178527,0.134648,1.640213,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99223,3,12,0.299141,0.148525,1.519599,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99223,3,12,1.81874,1.666533,0.0,1,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99224,3,12,0.058808,0.042986,1.759932,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99224,3,12,0.808319,0.619138,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99224,3,12,0.041548,0.041548,1.777192,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99224,3,12,0.179841,0.179841,1.638899,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,source_additive_mutation_prior,99224,3,12,0.808319,0.808319,1.010421,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,target_gp_ucb,99225,3,12,0.775017,0.775017,1.043723,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_rgpe,99225,3,12,0.775017,0.775017,1.043723,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_icm_bma,99225,3,12,0.775017,0.775017,1.043723,0,1,380
real_flip2_trpb_train_validation,real_flip2_trpb_test,multisource_skill_prior,99225,3,12,0.775017,0.775017,1.043723,0,1,380
