condition,permutation_seed,auc_mean_delta,auc_ci95_low,auc_ci95_high,final_mean_delta,final_ci95_low,final_ci95_high,top10_mean_delta,top10_ci95_low,top10_ci95_high,wins,ties,losses
permuted_source_outcomes_99700,99700,0.0012124735998816066,-0.02945548348737491,0.03188043068713812,-0.0015017421024333933,-0.05308460075098628,0.05008111654611949,0.01,-0.009599999999999996,0.029599999999999994,46,22,32
permuted_source_outcomes_99701,99701,-0.06672678066769204,-0.09080176370822217,-0.04265179762716191,-0.13063854296946045,-0.1736559380398842,-0.08762114789903672,0.0,0.0,0.0,15,34,51
permuted_source_outcomes_99702,99702,-0.06523929748707612,-0.0887648321849175,-0.041713762789234735,-0.13624029841990282,-0.17965142633576767,-0.09282917050403797,0.0,0.0,0.0,12,36,52
permuted_source_outcomes_99703,99703,-0.01517827004114197,-0.04806426674470178,0.017707726662417836,-0.05394068110148595,-0.1071307558323073,-0.0007506063706645971,0.0,0.0,0.0,29,28,43
permuted_source_outcomes_99704,99704,-0.0707719408534704,-0.0946721466850791,-0.04687173502186169,-0.14127290475851853,-0.18469253010235243,-0.09785327941468464,0.0,0.0,0.0,6,37,57
permuted_source_outcomes_99705,99705,0.09595250684402512,0.049275837422807764,0.14262917626524246,0.16899751431402504,0.10319991925119418,0.2347951093768559,0.0,0.0,0.0,56,16,28
permuted_source_outcomes_99706,99706,-0.047744140333589404,-0.07186811871482626,-0.023620161952352548,-0.09445201235979672,-0.13711133664666467,-0.05179268807292878,0.0,0.0,0.0,29,29,42
permuted_source_outcomes_99707,99707,-0.010198048086098657,-0.03739977833815694,0.017003682165959627,-0.04997156932880423,-0.09592140719825021,-0.0040217314593582534,0.0,0.0,0.0,41,22,37
permuted_source_outcomes_99708,99708,-0.06525213216751602,-0.08935180370034917,-0.041152460634682864,-0.12115286690279455,-0.1652304831299908,-0.07707525067559828,0.0,0.0,0.0,20,30,50
permuted_source_outcomes_99709,99709,-0.05002848579604912,-0.07446582399880897,-0.02559114759328928,-0.10969779759209095,-0.15232586885535554,-0.06706972632882637,0.0,0.0,0.0,33,25,42
permuted_source_outcomes_99710,99710,-0.011396147242111526,-0.040979270767997296,0.018186976283774248,-0.01903978701278541,-0.07193434799738577,0.03385477397181494,0.0,0.0,0.0,31,29,40
permuted_source_outcomes_99711,99711,-0.06706119114425729,-0.0913705192186938,-0.04275186306982079,-0.13355322706726624,-0.17793119686017062,-0.08917525727436186,0.0,0.0,0.0,14,35,51
permuted_source_outcomes_99712,99712,0.033555929128518146,0.005882548196720672,0.06122931006031562,0.061585715865058406,0.00812623209634817,0.11504519963376864,0.0,0.0,0.0,60,17,23
permuted_source_outcomes_99713,99713,0.08185103640075887,0.053929826694808725,0.10977224610670902,0.14860957924187662,0.09145651286841118,0.20576264561534208,0.0,0.0,0.0,66,16,18
permuted_source_outcomes_99714,99714,-0.07035800740971428,-0.09431542344105152,-0.04640059137837703,-0.13805582884222353,-0.18165166065117647,-0.0944599970332706,0.0,0.0,0.0,10,35,55
permuted_source_outcomes_99715,99715,0.10267872784338065,0.0703512188265865,0.13500623686017482,0.0797863150730916,0.03137247154280824,0.12820015860337497,0.0,0.0,0.0,66,17,17
permuted_source_outcomes_99716,99716,-0.0462336680657719,-0.07066214910943683,-0.021805187022106976,-0.10102865244142521,-0.14523222986711062,-0.0568250750157398,0.0,0.0,0.0,41,23,36
permuted_source_outcomes_99717,99717,-0.03778021805180866,-0.06897920531430347,-0.006581230789313847,-0.07205302241604737,-0.12957720152422975,-0.014528843307865011,0.0,0.0,0.0,21,32,47
permuted_source_outcomes_99718,99718,-0.03829152978776588,-0.06932704540766686,-0.00725601416786489,-0.043404945394040675,-0.10964479827791315,0.0228349074898318,0.0,0.0,0.0,25,30,45
permuted_source_outcomes_99719,99719,-0.023275555644550184,-0.04754874986000991,0.000997638570909544,0.010131553713372776,-0.03357032174149732,0.053833429168242866,0.0,0.0,0.0,52,15,33
permuted_source_outcomes_99720,99720,0.06130578808284588,0.03466865674328985,0.08794291942240191,0.060138350510951726,0.00908325928408689,0.11119344173781656,0.0,0.0,0.0,66,13,21
permuted_source_outcomes_99721,99721,0.06029885834993638,0.0354616528815456,0.08513606381832717,0.02608740076019798,-0.01626900138260987,0.06844380290300583,0.0,0.0,0.0,61,15,24
permuted_source_outcomes_99722,99722,-0.04468871505410492,-0.0683594436049489,-0.02101798650326094,-0.103761881540937,-0.1472899504221694,-0.06023381265970461,0.0,0.0,0.0,34,25,41
permuted_source_outcomes_99723,99723,-0.0664395902903824,-0.09030357928053051,-0.0425756013002343,-0.12755408334184484,-0.17113855598471145,-0.08396961069897822,0.0,0.0,0.0,14,34,52
permuted_source_outcomes_99724,99724,-0.0027375393185895256,-0.025554512619118067,0.020079433981939013,-0.026714010438246297,-0.07070625119060828,0.017278230314115683,0.0,0.0,0.0,50,19,31
