series,round,seed_count,mean_best_so_far,bootstrap_ci95_low,bootstrap_ci95_high
Target-only GP-UCB,1,100,0.1697556064775712,0.12404481098186304,0.22092223777126863
Outcome-permuted skills,1,100,0.17603057498657812,0.1303523274272696,0.2266260297821861
"LLM skill, true binding",1,100,0.8723058025063132,0.7967738081900978,0.9481085449831903
Target-only GP-UCB,2,100,0.17394458310272415,0.12744650696410204,0.22623004404498334
Outcome-permuted skills,2,100,0.18814007245033118,0.14327897884069266,0.2377761713421083
"LLM skill, true binding",2,100,0.9897809761935119,0.9146581683557706,1.064924052511407
Target-only GP-UCB,3,100,0.174914448633728,0.12907094658896365,0.22580866661637553
Outcome-permuted skills,3,100,0.19960394528937386,0.15557320373630248,0.24888746146556637
"LLM skill, true binding",3,100,1.0349045605158804,0.9598029257743584,1.11132918501738
Target-only GP-UCB,4,100,0.1820821181749125,0.13634535287026306,0.23301130575551787
Outcome-permuted skills,4,100,0.2120137127396596,0.16881118296611497,0.2609541370232179
"LLM skill, true binding",4,100,1.0725221602297692,0.9982695160375766,1.1493443078732697
Target-only GP-UCB,5,100,0.21074699126329466,0.16127308046020047,0.2650537371205416
Outcome-permuted skills,5,100,0.22391029524792416,0.18125733291734675,0.271534464987356
"LLM skill, true binding",5,100,1.1424626577419321,1.0641663131623922,1.2226637767976603
Target-only GP-UCB,6,100,0.24284170137000596,0.18965746230959116,0.29988834583818713
Outcome-permuted skills,6,100,0.23703149303463344,0.19575904678791844,0.2840914010417134
"LLM skill, true binding",6,100,1.178402158441244,1.099816964360588,1.2591828909657414
Target-only GP-UCB,7,100,0.26227757370335875,0.20742118735064394,0.3199091188775825
Outcome-permuted skills,7,100,0.2480773783142542,0.20769848946502095,0.2936579165857291
"LLM skill, true binding",7,100,1.190823239813034,1.1099192480249793,1.2710175115870208
Target-only GP-UCB,8,100,0.2757123138981586,0.22213899085689648,0.33253884121648136
Outcome-permuted skills,8,100,0.25713054477163677,0.21738330186666097,0.3016313279545417
"LLM skill, true binding",8,100,1.2124442748902973,1.1321403842190654,1.2940068703931868
Target-only GP-UCB,9,100,0.2930107479131912,0.23944868106024148,0.35009170781658183
Outcome-permuted skills,9,100,0.2659749429883302,0.22670787782432839,0.30999047100721205
"LLM skill, true binding",9,100,1.2124442748902973,1.131687290076764,1.2939286644735652
Target-only GP-UCB,10,100,0.30859315536144327,0.2537953733092765,0.36609456689959974
Outcome-permuted skills,10,100,0.2751649136408605,0.23670019546382653,0.31842359743895415
"LLM skill, true binding",10,100,1.2124442748902973,1.1309619215414324,1.2947766614071143
Target-only GP-UCB,11,100,0.31505865358799373,0.2598302875093641,0.37322935305783217
Outcome-permuted skills,11,100,0.28387534056560204,0.24553261555337028,0.3275394400311221
"LLM skill, true binding",11,100,1.2124442748902973,1.1316256951294363,1.294377024837527
Target-only GP-UCB,12,100,0.3165142095670439,0.2602403858852728,0.37380901613867884
Outcome-permuted skills,12,100,0.2930069062957358,0.2548787913972024,0.3353978994905255
"LLM skill, true binding",12,100,1.2124442748902973,1.1327273844880716,1.2942769914995826
