dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_photocatalytic_hydrogen_evolution,gp_ucb,62000,19.7524,18.4486,13.4794,0,calibration,
real_photocatalytic_hydrogen_evolution,llambo_warmstart_alkaline_activation_of_thiol_donor,62000,20.7154,19.3515,12.5164,0,calibration,
real_photocatalytic_hydrogen_evolution,llambo_warmstart_dye_sensitization_counter_hypothesis,62000,21.7295,21.4052,11.5023,0,calibration,
real_photocatalytic_hydrogen_evolution,llambo_warmstart_ionic_strength_colloidal_destabilization,62000,21.7295,19.2838,11.5023,0,calibration,
real_photocatalytic_hydrogen_evolution,llambo_warmstart_photocatalyst_scavenger_stoichiometry_match,62000,24.2764,23.306,8.9554,1,calibration,
real_photocatalytic_hydrogen_evolution,llambo_warmstart_silicate_dispersant_optimum_window,62000,20.355,19.1977,12.8768,0,calibration,
real_photocatalytic_hydrogen_evolution,llambo_warmstart_surfactant_active_site_blocking,62000,19.9189,19.8347,13.3129,0,calibration,
real_photocatalytic_hydrogen_evolution,llm_direct_prior_alkaline_activation_of_thiol_donor,62000,21.7295,19.1487,11.5023,0,calibration,
real_photocatalytic_hydrogen_evolution,llm_direct_prior_dye_sensitization_counter_hypothesis,62000,17.7527,15.3086,15.4791,0,calibration,
real_photocatalytic_hydrogen_evolution,llm_direct_prior_ionic_strength_colloidal_destabilization,62000,19.0189,16.8524,14.2129,0,calibration,
real_photocatalytic_hydrogen_evolution,llm_direct_prior_photocatalyst_scavenger_stoichiometry_match,62000,20.7154,17.6283,12.5164,0,calibration,
real_photocatalytic_hydrogen_evolution,llm_direct_prior_silicate_dispersant_optimum_window,62000,19.797,18.5684,13.4348,0,calibration,
real_photocatalytic_hydrogen_evolution,llm_direct_prior_surfactant_active_site_blocking,62000,17.7527,15.1375,15.4791,0,calibration,
real_photocatalytic_hydrogen_evolution,llm_semantic_alkaline_activation_of_thiol_donor,62000,19.9189,17.9577,13.3129,0,calibration,
