skill_id,rule_id,conditions,llm_weight,matched_candidates,matched_mean_her_umol_h,delta_vs_pool_mean_umol_h
photocatalyst_scavenger_stoichiometry_match,dense_catalyst_with_ample_thiol_donor,"{""l_cysteine_100gl_bin"": ""high"", ""p10_mix1_bin"": ""very_high""}",0.8,62,12.950958,3.140642
photocatalyst_scavenger_stoichiometry_match,elevated_catalyst_loading,"{""p10_mix1_bin"": ""high""}",0.45,413,11.572132,1.761816
photocatalyst_scavenger_stoichiometry_match,scavenger_starved_regime,"{""l_cysteine_100gl_bin"": ""low""}",-0.5,420,4.728038,-5.082277
alkaline_activation_of_thiol_donor,moderate_base_addition,"{""naoh_1m_bin"": ""medium""}",0.55,192,14.650664,4.840348
alkaline_activation_of_thiol_donor,base_plus_rich_donor,"{""l_cysteine_100gl_bin"": ""high"", ""naoh_1m_bin"": ""high""}",0.4,4,16.7635,6.953184
alkaline_activation_of_thiol_donor,unbuffered_acidic_formulation,"{""naoh_1m_bin"": ""none""}",-0.35,370,5.018353,-4.791963
silicate_dispersant_optimum_window,dilute_silicate_stabilization,"{""sodium_silicate_1wt_bin"": ""low""}",0.5,369,12.078663,2.268348
silicate_dispersant_optimum_window,silicate_overdose_passivation,"{""sodium_silicate_1wt_bin"": ""very_high""}",-0.6,51,10.248176,0.437861
silicate_dispersant_optimum_window,dispersant_matters_at_heavy_loading,"{""p10_mix1_bin"": ""very_high"", ""sodium_silicate_1wt_bin"": ""medium""}",0.35,45,12.325767,2.515451
dye_sensitization_counter_hypothesis,downweight_dye_addition,"{""dye_presence"": ""dye_added""}",-0.55,189,1.085103,-8.725213
dye_sensitization_counter_hypothesis,inner_filter_from_cationic_dye,"{""methylene_blue_250mgl_bin"": ""low""}",-0.35,80,0.570218,-9.240098
dye_sensitization_counter_hypothesis,clean_optical_path_preference,"{""dye_presence"": ""dye_free""}",0.4,920,11.602778,1.792462
surfactant_active_site_blocking,penalize_surfactant_presence,"{""surfactant_presence"": ""surfactant_added""}",-0.45,214,3.908801,-5.901514
surfactant_active_site_blocking,anionic_surfactant_adsorption,"{""sds_1wt_bin"": ""low""}",-0.35,66,1.447012,-8.363304
surfactant_active_site_blocking,polymer_free_surface,"{""pvp_1wt_bin"": ""none""}",0.3,935,10.808452,0.998136
ionic_strength_colloidal_destabilization,salt_free_electrostatic_repulsion,"{""nacl_3m_bin"": ""none""}",0.4,823,10.096187,0.285872
ionic_strength_colloidal_destabilization,high_salt_aggregation_penalty,"{""nacl_3m_bin"": ""high""}",-0.5,6,7.076533,-2.733782
ionic_strength_colloidal_destabilization,salt_without_stabilizer,"{""nacl_3m_bin"": ""medium"", ""sodium_silicate_1wt_bin"": ""none""}",-0.35,22,8.601059,-1.209257
