dataset_id,menu_id,seed,menu_size,selected_public_candidate_id,selected_candidate_id,selected_value,random_expected_value,random_realized_candidate_id,random_realized_value,space_filling_candidate_id,space_filling_value,oracle_value,llm_minus_random_expected,llm_minus_random_realized,llm_minus_space_filling,rank,percentile,top_quartile_hit,top_one_hit,hypothesis,reason,confidence
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-000,83000,12,option_09,baumgartner_suzuki_minlp2_056,77.7594,26.76229167,baumgartner_suzuki_minlp2_010,45.953,baumgartner_suzuki_minlp2_007,0.0001,81.9713,50.99710833,31.8064,77.7593,3,0.81818182,True,False,"For oxidative addition into an electron-poor heteroaryl chloride, a bulky electron-rich biarylphosphine (XPhos) precatalyst at ~110 C with ~1.7 mol% Pd and ~150 s residence time will give the highest conversion; low-temperature or PPh3/PCy3 points will underperform.","3-Chloropyridine requires facile Ar-Cl oxidative addition; XPhos-type Pd precatalysts are the standard high-activity choice, and 110 C plus moderate-to-high catalyst loading maximizes turnover within a few-minute flow residence time. The 30 C options and small-cone-angle ligands (PPh3, PCy3, XantPhos) are expected to stall.",0.6
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-001,83001,12,option_06,baumgartner_suzuki_minlp2_057,78.0888,50.92776667,baumgartner_suzuki_minlp2_031,29.5329,baumgartner_suzuki_minlp2_017,0.0001,100.0,27.16103333,48.5559,78.0887,5,0.63636364,False,False,"Among the XPhos Cl points, the combination of near-maximal temperature (107.6 C), high loading (2.5 mol%), and an intermediate-to-long residence time (~204 s) will reach the highest yield plateau.",Rate scales with both temperature and Pd loading; 78 s at high temperature may be short of full conversion while 82-90 C points trade temperature for time. ~200 s at ~108 C with 2.5 mol% should sit on the conversion plateau before catalyst decomposition dominates.,0.58
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-002,83002,12,option_07,baumgartner_suzuki_minlp2_057,78.0888,48.8382,baumgartner_suzuki_minlp2_040,100.0,baumgartner_suzuki_minlp2_006,0.0001,100.0,29.2506,-21.9112,78.0887,4,0.72727273,False,False,"P2L1 XPhos Cl at 107.6 C, 204 s, 2.5 mol% will outperform RuPhos, PCy3, XantPhos and all 30 C entries for this aryl chloride coupling.","Same rationale as before: XPhos-ligated Pd is the most active catalyst class for chloro-heteroarene Suzuki couplings, and this point pairs the highest practical temperature with maximum catalyst loading and enough residence time to approach full conversion.",0.57
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-003,83003,12,option_02,baumgartner_suzuki_minlp2_039,80.6121,37.77160833,baumgartner_suzuki_minlp2_043,17.8635,baumgartner_suzuki_minlp2_054,0.1495,85.2753,42.84049167,62.7486,80.4626,2,0.90909091,True,False,"XPhos ligand at ~103.5 C with 2.5 mol% Pd and ~235 s gives higher yield than the shorter 78 s XPhos Cl point or the lower-temperature (82 C, 70 C) long-time points.","In this menu the XPhos Cl options are either very short residence time or notably cooler; the XPhos OMs point combines high temperature, maximal loading and a residence time long enough to complete the transformation, which should place it nearest the conversion plateau.",0.5
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-004,83004,12,option_01,baumgartner_suzuki_minlp2_024,85.4755,35.118075,baumgartner_suzuki_minlp2_037,50.8812,baumgartner_suzuki_minlp2_004,0.0001,85.4755,50.357425,34.5943,85.4754,1,1.0,True,True,"P2L1 XPhos Cl at 110 C, ~574 s, 2.5 mol% Pd will give the maximum yield in this menu, exceeding RuPhos, PCy3, PtBu3 and PPh3 alternatives.","This point simultaneously maximizes temperature, catalyst loading and residence time with the ligand class best suited to Ar-Cl oxidative addition, so it should drive the coupling closest to complete conversion; the main risk is catalyst deactivation or protodeboronation at long times.",0.62
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-005,83005,12,option_09,baumgartner_suzuki_minlp2_057,78.0888,34.34183333,baumgartner_suzuki_minlp2_046,53.3484,baumgartner_suzuki_minlp2_014,0.0001,81.9713,43.74696667,24.7404,78.0887,3,0.81818182,True,False,"For oxidative addition into the C-Cl bond of 3-chloropyridine, the bulky electron-rich XPhos precatalyst P2L1 at ~108 C with maximal loading (2.5 mol%) and ~200 s residence time should give near-complete conversion, exceeding PPh3/XantPhos or any low-temperature option.","Aryl chlorides require both a dialkylbiaryl phosphine (XPhos) and high temperature; this option pairs the best ligand class with the top of the temperature range, the highest catalyst fraction, and a residence time long enough for full turnover, while 30 C options and PPh3/XantPhos options are kinetically or ligand limited.",0.62
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-006,83006,12,option_01,baumgartner_suzuki_minlp2_047,69.8677,19.33923333,baumgartner_suzuki_minlp2_041,33.9293,baumgartner_suzuki_minlp2_054,0.1495,74.2411,50.52846667,35.9384,69.7182,2,0.90909091,True,False,"P1L1 (XPhos, OMs precatalyst) at 110 C with ~270 s residence time will out-yield SPhos, PCy3, RuPhos, PPh3 and XantPhos variants and all low-temperature entries for this chloropyridine coupling.","XPhos is the most active ligand for electron-poor heteroaryl chlorides in this precatalyst family; 110 C plus ~4.5 min gives sufficient turnover at ~1.1 mol% Pd, whereas the higher-loading alternatives here use weaker ligands (SPhos, PCy3, PPh3, XantPhos) or much lower temperatures.",0.48
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-007,83007,12,option_11,baumgartner_suzuki_minlp2_024,85.4755,20.980225,baumgartner_suzuki_minlp2_025,0.3882,baumgartner_suzuki_minlp2_003,0.0001,85.4755,64.495275,85.0873,85.4754,1,1.0,True,True,"P2L1 XPhos Cl at 110 C, ~575 s, 2.5 mol% Pd will drive the 3-chloropyridine coupling essentially to completion and give the highest yield in this menu.","It simultaneously maximizes the three variables that most strongly control conversion for an aryl chloride (best ligand, top temperature, top catalyst loading) and provides the longest residence time, so any remaining kinetic limitation should be removed.",0.66
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-008,83008,12,option_08,baumgartner_suzuki_minlp2_040,100.0,48.47345833,baumgartner_suzuki_minlp2_047,69.8677,baumgartner_suzuki_minlp2_027,0.1872,100.0,51.52654167,30.1323,99.8128,1,1.0,True,True,P2L1 XPhos Cl at ~90 C with 404 s and 2.5 mol% Pd will outperform the shorter-time or lower-loading XPhos entries and the RuPhos/PCy3/XantPhos alternatives.,"The long residence time and maximal Pd loading compensate for the ~20 C lower temperature, while retaining the most active ligand for C-Cl oxidative addition; competing options either drop catalyst to 0.5 mol%, cut time to ~70 s, or use less active ligands.",0.45
real_baumgartner_suzuki_minlp2,real_baumgartner_suzuki_minlp2-menu-009,83009,12,option_10,baumgartner_suzuki_minlp2_040,100.0,54.14263333,baumgartner_suzuki_minlp2_038,41.6742,baumgartner_suzuki_minlp2_051,78.4935,100.0,45.85736667,58.3258,21.5065,1,1.0,True,True,"P2L1 XPhos Cl at ~90 C, 404 s, 2.5 mol% Pd gives the highest yield here, beating hotter but shorter or lower-loading XPhos points and all non-XPhos ligands.","This combines the best ligand with maximal catalyst loading and a long residence time at a temperature high enough for aryl-chloride activation, balancing conversion against protodeboronation and catalyst decomposition that can limit the 110 C short-time points.",0.42
