task,replicate,seed,arm,skill_id,best_so_far_auc,final_best,simple_regret,top10_hit
real_moleculenet_freesolv,0,239100,fixed_initial,polar_hydration_counter_hypothesis,67.2966,71.4333,28.5667,1
real_moleculenet_freesolv,0,239100,gp_ucb,gp_ucb,57.4366,64.0333,35.9667,0
real_moleculenet_freesolv,0,239101,fixed_initial,polar_hydration_counter_hypothesis,70.6933,71.4333,28.5667,1
real_moleculenet_freesolv,0,239101,gp_ucb,gp_ucb,64.0333,64.0333,35.9667,0
real_moleculenet_freesolv,0,239102,fixed_initial,polar_hydration_counter_hypothesis,77.2333,77.2333,22.7667,1
real_moleculenet_freesolv,0,239102,gp_ucb,gp_ucb,77.2333,77.2333,22.7667,1
real_moleculenet_freesolv,0,239103,fixed_initial,polar_hydration_counter_hypothesis,60.6533,77.2333,22.7667,1
real_moleculenet_freesolv,0,239103,gp_ucb,gp_ucb,54.6067,69.4333,30.5667,1
real_moleculenet_freesolv,0,239104,fixed_initial,polar_hydration_counter_hypothesis,66.5133,71.4333,28.5667,1
real_moleculenet_freesolv,0,239104,gp_ucb,gp_ucb,64.0533,71.4333,28.5667,1
real_moleculenet_freesolv,0,239105,fixed_initial,polar_hydration_counter_hypothesis,71.4333,71.4333,28.5667,1
real_moleculenet_freesolv,0,239105,gp_ucb,gp_ucb,59.9533,68.2,31.8,0
real_moleculenet_freesolv,0,239106,fixed_initial,polar_hydration_counter_hypothesis,53.9567,71.4333,28.5667,1
real_moleculenet_freesolv,0,239106,gp_ucb,gp_ucb,46.94,48.3667,51.6333,0
real_moleculenet_freesolv,0,239107,fixed_initial,polar_hydration_counter_hypothesis,99.08,100.0,0.0,1
real_moleculenet_freesolv,0,239107,gp_ucb,gp_ucb,40.6333,47.8,52.2,0
real_moleculenet_freesolv,0,239108,fixed_initial,polar_hydration_counter_hypothesis,76.4533,77.2333,22.7667,1
real_moleculenet_freesolv,0,239108,gp_ucb,gp_ucb,73.31,79.0667,20.9333,1
real_moleculenet_freesolv,0,239109,fixed_initial,polar_hydration_counter_hypothesis,68.7633,71.4333,28.5667,1
real_moleculenet_freesolv,0,239109,gp_ucb,gp_ucb,68.7633,71.4333,28.5667,1
real_moleculenet_freesolv,0,239110,fixed_initial,polar_hydration_counter_hypothesis,99.08,100.0,0.0,1
real_moleculenet_freesolv,0,239110,gp_ucb,gp_ucb,93.24,100.0,0.0,1
real_moleculenet_freesolv,0,239111,fixed_initial,polar_hydration_counter_hypothesis,99.08,100.0,0.0,1
real_moleculenet_freesolv,0,239111,gp_ucb,gp_ucb,41.87,50.7333,49.2667,0
real_moleculenet_freesolv,0,239112,fixed_initial,polar_hydration_counter_hypothesis,99.54,100.0,0.0,1
real_moleculenet_freesolv,0,239112,gp_ucb,gp_ucb,99.54,100.0,0.0,1
real_moleculenet_freesolv,0,239113,fixed_initial,polar_hydration_counter_hypothesis,70.4566,77.2333,22.7667,1
real_moleculenet_freesolv,0,239113,gp_ucb,gp_ucb,63.7033,75.8,24.2,1
real_moleculenet_freesolv,0,239114,fixed_initial,polar_hydration_counter_hypothesis,68.7533,77.2333,22.7667,1
real_moleculenet_freesolv,0,239114,gp_ucb,gp_ucb,52.0967,75.8,24.2,1
real_moleculenet_freesolv,0,239115,fixed_initial,polar_hydration_counter_hypothesis,45.85,64.0333,35.9667,0
real_moleculenet_freesolv,0,239115,gp_ucb,gp_ucb,42.7633,44.7,55.3,0
real_moleculenet_freesolv,0,239116,fixed_initial,polar_hydration_counter_hypothesis,73.0467,79.0667,20.9333,1
real_moleculenet_freesolv,0,239116,gp_ucb,gp_ucb,68.1167,79.0667,20.9333,1
real_moleculenet_freesolv,0,239117,fixed_initial,polar_hydration_counter_hypothesis,66.4266,71.4333,28.5667,1
real_moleculenet_freesolv,0,239117,gp_ucb,gp_ucb,53.5433,56.1667,43.8333,0
real_moleculenet_freesolv,0,239118,fixed_initial,polar_hydration_counter_hypothesis,57.6366,71.4333,28.5667,1
real_moleculenet_freesolv,0,239118,gp_ucb,gp_ucb,48.2433,56.1667,43.8333,0
real_moleculenet_freesolv,0,239119,fixed_initial,polar_hydration_counter_hypothesis,69.67,71.4333,28.5667,1
real_moleculenet_freesolv,0,239119,gp_ucb,gp_ucb,66.3066,69.4333,30.5667,1
real_moleculenet_freesolv,0,239120,fixed_initial,polar_hydration_counter_hypothesis,50.52,52.6,47.4,0
real_moleculenet_freesolv,0,239120,gp_ucb,gp_ucb,50.0,50.0,50.0,0
real_moleculenet_freesolv,0,239121,fixed_initial,polar_hydration_counter_hypothesis,74.1334,79.0667,20.9333,1
real_moleculenet_freesolv,0,239121,gp_ucb,gp_ucb,71.4333,71.4333,28.5667,1
real_moleculenet_freesolv,0,239122,fixed_initial,polar_hydration_counter_hypothesis,50.3433,71.4333,28.5667,1
